dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,161,1,threads4,82.508,227.599,10,10,10,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,1,1,1
Mississippi,161,1,threads8,67.402,227.599,10,10,10,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,1,1,1
Mississippi,171,1,baseline,280.672,280.672,4,4,4,0,0,1,1,1,1,1,1,1,48,0,0,0,0,3,3,3,3,3
Mississippi,171,1,serial,190.498,280.672,4,4,4,0,0,1,1,1,1,1,1,1,48,0,0,0,0,3,3,3,3,3
Mississippi,171,1,threads4,84.773,280.672,4,4,4,0,0,1,1,1,1,1,1,1,48,0,0,0,0,3,3,3,3,3
Mississippi,171,1,threads8,70.549,280.672,4,4,4,0,0,1,1,1,1,1,1,1,48,0,0,0,0,3,3,3,3,3
Mississippi,181,1,baseline,279.977,279.977,7,7,7,0,0,1,1,1,1,1,1,1,51,0,0,0,0,4,4,2,2,2
Mississippi,181,1,serial,190.155,279.977,7,7,7,0,0,1,1,1,1,1,1,1,51,0,0,0,0,4,4,2,2,2
Mississippi,181,1,threads4,86.542,279.977,7,7,7,0,0,1,1,1,1,1,1,1,51,0,0,0,0,4,4,2,2,2
Mississippi,181,1,threads8,71.116,279.977,7,7,7,0,0,1,1,1,1,1,1,1,51,0,0,0,0,4,4,2,2,2
Mississippi,191,1,baseline,220.825,220.825,13,13,13,0,0,1,1,1,1,1,1,1,67,0,0,0,0,8,8,3,3,3
Mississippi,191,1,serial,150.499,220.825,13,13,13,0,0,1,1,1,1,1,1,1,67,0,0,0,0,8,8,3,3,3
Mississippi,191,1,threads4,74.505,220.825,13,13,13,0,0,1,1,1,1,1,1,1,67,0,0,0,0,8,8,3,3,3
Mississippi,191,1,threads8,62.852,220.825,13,13,13,0,0,1,1,1,1,1,1,1,67,0,0,0,0,8,8,3,3,3
Mississippi,201,1,baseline,214.09,214.09,12,12,12,0,0,1,1,1,1,1,1,1,60,0,0,0,0,8,8,1,1,1
Mississippi,201,1,serial,156.765,214.09,12,12,12,0,0,1,1,1,1,1,1,1,60,0,0,0,0,8,8,1,1,1
Mississippi,201,1,threads4,78.248,214.09,12,12,12,0,0,1,1,1,1,1,1,1,60,0,0,0,0,8,8,1,1,1
Mississippi,201,1,threads8,63.748,214.09,12,12,12,0,0,1,1,1,1,1,1,1,60,0,0,0,0,8,8,1,1,1
Mississippi,211,1,baseline,212.776,212.776,13,13,13,0,0,1,1,1,1,1,1,1,54,0,0,0,0,4,4,2,2,2
