dataset,frame,pass,variant,milliseconds,baselineMilliseconds,baselineCount,candidateCount,sharedCount,lostCount,addedCount,retention,jaccard,maskExact,sourceExact,componentsExact,nonPoleMasksExact,nonPoleComponentsExact,sharedComponentCount,maximumMeanError,maximumCovarianceError,maximumProbabilityError,maximumMixtureWeightError,legacyCount,legacyRetained,fineCount,fineMatched,baselineFineMatched
Mississippi,151,1,serial,126.322,174.804,13,13,13,0,0,1,1,1,1,1,1,1,35,0,0,0,0,5,5,6,6,6
Mississippi,151,1,threads4,65.606,174.804,13,13,13,0,0,1,1,1,1,1,1,1,35,0,0,0,0,5,5,6,6,6
Mississippi,151,1,threads8,55.31,174.804,13,13,13,0,0,1,1,1,1,1,1,1,35,0,0,0,0,5,5,6,6,6
Mississippi,161,1,baseline,243.657,243.657,10,10,10,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,1,1,1
Mississippi,161,1,serial,164.541,243.657,10,10,10,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,1,1,1
Mississippi,161,1,threads4,72.961,243.657,10,10,10,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,1,1,1
Mississippi,161,1,threads8,67.311,243.657,10,10,10,0,0,1,1,1,1,1,1,1,54,0,0,0,0,6,6,1,1,1
Mississippi,171,1,baseline,332.179,332.179,4,4,4,0,0,1,1,1,1,1,1,1,48,0,0,0,0,3,3,3,3,3
Mississippi,171,1,serial,207.457,332.179,4,4,4,0,0,1,1,1,1,1,1,1,48,0,0,0,0,3,3,3,3,3
Mississippi,171,1,threads4,89.252,332.179,4,4,4,0,0,1,1,1,1,1,1,1,48,0,0,0,0,3,3,3,3,3
Mississippi,171,1,threads8,72.07,332.179,4,4,4,0,0,1,1,1,1,1,1,1,48,0,0,0,0,3,3,3,3,3
Mississippi,181,1,baseline,326.446,326.446,7,7,7,0,0,1,1,1,1,1,1,1,51,0,0,0,0,4,4,2,2,2
Mississippi,181,1,serial,198.261,326.446,7,7,7,0,0,1,1,1,1,1,1,1,51,0,0,0,0,4,4,2,2,2
Mississippi,181,1,threads4,80.499,326.446,7,7,7,0,0,1,1,1,1,1,1,1,51,0,0,0,0,4,4,2,2,2
Mississippi,181,1,threads8,67.906,326.446,7,7,7,0,0,1,1,1,1,1,1,1,51,0,0,0,0,4,4,2,2,2
Mississippi,191,1,baseline,238.624,238.624,13,13,13,0,0,1,1,1,1,1,1,1,67,0,0,0,0,8,8,3,3,3
Mississippi,191,1,serial,157.228,238.624,13,13,13,0,0,1,1,1,1,1,1,1,67,0,0,0,0,8,8,3,3,3
Mississippi,191,1,threads4,73.387,238.624,13,13,13,0,0,1,1,1,1,1,1,1,67,0,0,0,0,8,8,3,3,3
Mississippi,191,1,threads8,65.145,238.624,13,13,13,0,0,1,1,1,1,1,1,1,67,0,0,0,0,8,8,3,3,3
Mississippi,201,1,baseline,242.265,242.265,12,12,12,0,0,1,1,1,1,1,1,1,60,0,0,0,0,8,8,1,1,1
Mississippi,201,1,serial,158.087,242.265,12,12,12,0,0,1,1,1,1,1,1,1,60,0,0,0,0,8,8,1,1,1
Mississippi,201,1,threads4,71.917,242.265,12,12,12,0,0,1,1,1,1,1,1,1,60,0,0,0,0,8,8,1,1,1
Mississippi,201,1,threads8,58.787,242.265,12,12,12,0,0,1,1,1,1,1,1,1,60,0,0,0,0,8,8,1,1,1
Mississippi,211,1,baseline,238.707,238.707,13,13,13,0,0,1,1,1,1,1,1,1,54,0,0,0,0,4,4,2,2,2
Mississippi,211,1,serial,155.045,238.707,13,13,13,0,0,1,1,1,1,1,1,1,54,0,0,0,0,4,4,2,2,2
Mississippi,211,1,threads4,73.808,238.707,13,13,13,0,0,1,1,1,1,1,1,1,54,0,0,0,0,4,4,2,2,2
Mississippi,211,1,threads8,62.924,238.707,13,13,13,0,0,1,1,1,1,1,1,1,54,0,0,0,0,4,4,2,2,2
Mississippi,221,1,baseline,221.994,221.994,19,19,19,0,0,1,1,1,1,1,1,1,41,0,0,0,0,5,5,2,2,2
Mississippi,221,1,serial,127.804,221.994,19,19,19,0,0,1,1,1,1,1,1,1,41,0,0,0,0,5,5,2,2,2
Mississippi,221,1,threads4,63.555,221.994,19,19,19,0,0,1,1,1,1,1,1,1,41,0,0,0,0,5,5,2,2,2
Mississippi,221,1,threads8,52.422,221.994,19,19,19,0,0,1,1,1,1,1,1,1,41,0,0,0,0,5,5,2,2,2
Mississippi,231,1,baseline,220.532,220.532,12,12,12,0,0,1,1,1,1,1,1,1,54,0,0,0,0,3,3,1,1,1
Mississippi,231,1,serial,135.969,220.532,12,12,12,0,0,1,1,1,1,1,1,1,54,0,0,0,0,3,3,1,1,1
Mississippi,231,1,threads4,70.909,220.532,12,12,12,0,0,1,1,1,1,1,1,1,54,0,0,0,0,3,3,1,1,1
Mississippi,231,1,threads8,59.845,220.532,12,12,12,0,0,1,1,1,1,1,1,1,54,0,0,0,0,3,3,1,1,1
Mississippi,241,1,baseline,276.416,276.416,10,10,10,0,0,1,1,1,1,1,1,1,57,0,0,0,0,5,5,1,1,1
Mississippi,241,1,serial,163.259,276.416,10,10,10,0,0,1,1,1,1,1,1,1,57,0,0,0,0,5,5,1,1,1
Mississippi,241,1,threads4,72.231,276.416,10,10,10,0,0,1,1,1,1,1,1,1,57,0,0,0,0,5,5,1,1,1
Mississippi,241,1,threads8,96.956,276.416,10,10,10,0,0,1,1,1,1,1,1,1,57,0,0,0,0,5,5,1,1,1
Mississippi,251,1,baseline,335.334,335.334,8,8,8,0,0,1,1,1,1,1,1,1,52,0,0,0,0,3,3,2,2,2
Mississippi,251,1,serial,208.041,335.334,8,8,8,0,0,1,1,1,1,1,1,1,52,0,0,0,0,3,3,2,2,2
