method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
optimized,900,1,4,162,72.969,66.012,6.934,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,550,1,4,163,73.446,66.505,6.919,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,4,164,90.33,74.7,15.609,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,350,3,4,165,64.384,58.062,6.301,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,350,3,4,166,77.202,61.973,15.207,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,260,1,4,167,76.243,64.149,12.072,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,260,1,4,168,62.416,56.622,5.774,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,900,3,5,169,74.91,68.366,6.519,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,900,3,5,170,92.254,78.599,13.635,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,700,1,5,171,84.947,71.854,13.063,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,1,5,172,70.516,64.232,6.253,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,260,1,5,173,73.172,60.314,12.825,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,260,1,5,174,64.387,57.539,6.821,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
optimized,120,2,5,175,80.636,72.779,7.831,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,120,2,5,176,93.18,70.54,22.618,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,260,2,5,177,81.05,66.209,14.82,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
optimized,260,2,5,178,66.539,60.246,6.273,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,700,2,5,179,92.757,78.342,14.393,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,5,180,75.304,69.353,5.93,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,120,3,5,181,90.198,71.763,18.413,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,5,182,69.209,61.808,7.377,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,350,2,5,183,79.118,62.689,16.406,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,5,184,63.781,56.854,6.901,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
baseline,120,1,5,185,83.179,63.306,19.848,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
optimized,120,1,5,186,67.935,60.452,7.462,1,accepted,8,484199.299792639,4977468.70878437,-1.1067148870627
baseline,900,2,5,187,96.298,81.04,15.238,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,5,188,79.824,72.211,7.592,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,350,1,5,189,62.993,55.358,7.611,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,350,1,5,190,77.582,62.308,15.253,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
optimized,550,2,5,191,72.173,65.024,7.128,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,550,2,5,192,89.822,73.451,16.349,1,accepted,7,484318.963452939,4976932.6128778,-1.20165116555198
baseline,260,3,5,193,75.674,62.307,13.347,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,5,194,65.278,58.453,6.805,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,350,3,5,195,72.819,58.712,14.086,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,5,196,62.603,55.904,6.679,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
baseline,550,3,5,197,88.913,75.309,13.583,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
optimized,550,3,5,198,73.123,66.929,6.174,1,accepted,5,484318.963452627,4976932.61287761,-1.20165124874851
