frameIndex,mapStartFrame,mapEndFrame,mode,heightOffsetMeters,tiltOffsetDegrees,initialPoseCase,accepted,reason,similarity,mapPoseTranslationDifferenceMeters,mapPoseYawDifferenceDegrees,registrationSeconds,heightUsed
900,901,906,xy,0.1,0,2,0,searchBoundary,0.339041583271295,2.51673426925535,0.126891808065666,0.018737,0
900,901,906,xyz,0.1,0,1,0,searchBoundary,0.263445158889256,3.51542069716673,0.533793127680605,0.032544,1
900,901,906,xyz,0.1,0,2,0,searchBoundary,0.252975951939136,2.51216758520975,0.339955252983379,0.027028,1
900,901,906,xy,-0.1,0,1,0,searchBoundary,0.355300378463139,3.52140726545842,0.223682800441539,0.025828,0
900,901,906,xy,-0.1,0,2,0,searchBoundary,0.339041583271295,2.51673426925535,0.126891808065666,0.023634,0
900,901,906,xyz,-0.1,0,1,0,insufficientOverlap,0.139581967377777,3.28405884596642,0.927089477164893,0.028284,1
900,901,906,xyz,-0.1,0,2,0,searchBoundary,0.138141026573697,2.5066801647605,0.702548830903136,0.032036,1
900,901,906,xy,0.3,0,1,0,searchBoundary,0.355300378463139,3.52140726545842,0.223682800441539,0.027961,0
900,901,906,xy,0.3,0,2,0,searchBoundary,0.339041583271295,2.51673426925535,0.126891808065666,0.022513,0
900,901,906,xyz,0.3,0,1,0,searchBoundary,0.266772535579539,3.52069175408766,0.23176145968979,0.040353,1
900,901,906,xyz,0.3,0,2,0,searchBoundary,0.252092115296879,2.51899452136075,0.00743147815928349,0.030182,1
900,901,906,xy,0.3,0.5,1,0,searchBoundary,0.357955518886367,3.5213421004171,0.223090533952177,0.02055,0
900,901,906,xy,0.3,0.5,2,0,searchBoundary,0.34139403687447,2.51641877006017,0.14090337491781,0.017784,0
900,901,906,xyz,0.3,0.5,1,0,searchBoundary,0.284015619404772,3.51953899660894,0.293894047858993,0.033403,1
900,901,906,xyz,0.3,0.5,2,0,searchBoundary,0.269568094161327,2.51634486697641,0.118776716457851,0.028047,1
