frame,seconds,confirmedComponents
590,0.064024,81
591,0.056673,75
592,0.05644,80
593,0.054664,70
594,0.056946,76
595,0.054893,76
596,0.053716,81
597,0.05476,84
598,0.051673,89
599,0.0531,91
600,0.050248,81
601,0.056506,68
602,0.053458,67
603,0.055484,69
604,0.054956,69
605,0.053711,84
606,0.057891,87
607,0.05683,94
608,0.060369,100
609,0.058339,110
610,0.061486,102
611,0.059781,104
612,0.065965,98
613,0.066651,88
614,0.05989,85
615,0.059367,86
616,0.060373,85
617,0.05923,82
618,0.059844,83
619,0.062512,82
620,0.063299,89
621,0.062958,95
622,0.06158,93
623,0.061608,89
624,0.061846,89
625,0.061798,91
626,0.058913,89
627,0.060856,96
628,0.060793,86
629,0.057881,90
630,0.056058,97
631,0.056197,100
632,0.061229,101
633,0.057337,108
634,0.054846,103
635,0.055011,99
636,0.056149,99
637,0.054465,103
638,0.060785,106
639,0.055231,105
640,0.056457,102
641,0.062791,102
642,0.05606,101
643,0.056839,106
644,0.053738,98
645,0.055072,101
646,0.055716,93
647,0.054849,94
648,0.053575,94
649,0.052001,90
650,0.052907,92
651,0.057624,92
652,0.053503,94
653,0.05235,96
654,0.057393,88
655,0.054091,83
656,0.05597,89
657,0.052574,91
658,0.049967,94
659,0.054232,98
660,0.051919,98
661,0.055791,95
662,0.055411,99
663,0.056308,100
664,0.054448,94
665,0.055279,95
666,0.057018,99
667,0.05512,97
668,0.05747,95
669,0.057365,97
670,0.056229,99
671,0.055952,97
672,0.059381,101
673,0.060985,95
674,0.060032,98
675,0.059947,115
676,0.062839,114
677,0.059949,120
678,0.06147,125
679,0.060714,122
680,0.063212,117
681,0.064308,118
682,0.060727,113
683,0.06438,111
684,0.062566,106
685,0.058722,107
686,0.064438,99
687,0.06244,102
688,0.060123,94
689,0.059539,93
690,0.058037,93
691,0.061448,91
692,0.064394,80
693,0.058831,86
694,0.059549,79
695,0.057685,81
696,0.059666,85
697,0.058614,79
698,0.059058,79
699,0.063024,83
700,0.058273,84
701,0.056841,83
702,0.057183,85
703,0.059141,90
704,0.058633,92
705,0.063724,98
706,0.059904,113
707,0.058673,115
708,0.057615,113
709,0.058526,108
710,0.058204,111
711,0.058119,104
712,0.056467,107
713,0.058342,97
714,0.059315,105
715,0.059544,96
716,0.058638,89
717,0.059031,77
718,0.063255,79
719,0.058728,75
720,0.060419,77
721,0.058701,82
722,0.056137,77
723,0.057611,80
724,0.059634,90
725,0.060164,88
726,0.058614,89
727,0.056654,84
728,0.057539,97
729,0.058421,87
730,0.058316,83
731,0.064477,69
732,0.066076,72
733,0.066287,72
734,0.062489,76
735,0.060864,84
736,0.057305,90
737,0.059601,96
738,0.059355,104
739,0.061967,106
740,0.059867,107
741,0.058003,114
742,0.061036,118
743,0.058083,114
744,0.060161,118
745,0.06043,111
746,0.05968,109
747,0.063564,110
748,0.057697,108
749,0.059358,108
750,0.060186,104
751,0.059038,101
752,0.057442,93
753,0.061118,93
754,0.059535,89
755,0.057952,87
756,0.058755,89
757,0.059973,94
758,0.059469,90
759,0.061036,95
760,0.059322,85
761,0.060065,95
762,0.059988,101
763,0.064832,103
764,0.055938,103
