frame,aidUsed,candidates,selected,maxRelativeSupport,validCandidates,maxModeSecondMoment
302,1,2,1,1,2,0
303,1,2,2,0.576840760395341,2,0.00146299844449481
304,1,2,2,1,2,0
305,1,2,2,1,2,0
306,1,2,1,1,2,0
307,1,2,2,1,2,0
308,1,2,1,1,2,0
309,1,2,1,1,2,0
310,1,2,1,1,2,0
311,1,2,2,1,2,0
312,1,1,1,1,1,0
313,1,2,2,1,2,0
314,1,2,2,1,2,0
315,1,2,2,1,2,0
316,1,2,1,1,2,0
317,1,2,2,1,2,0
318,1,2,1,1,2,0
319,1,2,1,1,2,0
320,1,2,2,1,2,0
321,1,2,2,0.764049906246174,2,0.00311515160989047
322,1,2,2,0.716691794994799,2,0.00230836150136937
323,1,2,2,0.573049513193111,2,0.000631446492007344
324,1,2,1,1,2,0
325,1,2,2,1,2,0
326,1,2,1,1,2,0
327,1,2,1,1,2,0
328,1,2,2,1,2,0
329,1,2,2,1,2,0
330,1,2,1,1,2,0
331,1,2,1,1,2,0
332,1,2,1,1,2,0
333,1,2,1,1,2,0
334,1,2,2,1,2,0
335,1,2,1,1,2,0
336,1,2,2,1,2,0
337,1,2,1,1,2,0
338,1,2,2,0.750874810188913,2,0.00917415651936849
339,1,2,2,1,2,0
340,1,2,2,1,2,0
341,1,2,1,1,2,0
342,1,1,1,1,1,0
343,1,1,1,1,1,0
344,1,1,1,1,1,0
345,1,1,1,1,1,0
346,1,2,1,1,2,0
347,1,2,2,1,2,0
348,1,2,2,1,2,0
349,1,2,2,1,2,0
350,1,2,1,1,2,0
351,1,2,2,1,2,0
352,1,2,2,1,2,0
353,1,2,2,1,2,0
354,1,2,1,1,2,0
355,1,2,1,1,2,0
356,1,2,1,1,2,0
357,1,2,2,0.709291343157389,2,0.0167336035050948
358,1,2,2,0.755113237625402,2,0.0199542327183034
359,1,2,2,1,2,0
360,1,1,1,1,1,0
361,1,1,1,1,1,0
362,1,1,1,1,1,0
363,1,1,1,1,1,0
364,1,2,2,1,2,0
365,1,2,1,1,2,0
366,1,2,1,1,2,0
367,1,2,2,1,2,0
368,1,1,1,1,1,0
369,1,1,1,1,1,0
370,1,1,1,1,1,0
371,1,2,2,1,2,0
372,1,2,2,1,2,0
373,1,2,2,1,2,0
374,1,2,1,1,2,0
375,1,2,1,1,2,0
376,1,2,1,1,2,0
377,1,2,2,1,2,0
378,1,2,1,1,2,0
379,1,2,1,1,2,0
380,1,2,1,1,2,0
381,1,1,1,1,1,0
382,1,1,1,1,1,0
383,1,1,1,1,1,0
384,1,1,1,1,1,0
385,1,1,1,1,1,0
386,1,1,1,1,1,0
387,1,1,1,1,1,0
388,1,1,1,1,1,0
389,1,1,1,1,1,0
390,1,1,1,1,1,0
391,1,2,2,1,2,0
392,1,2,2,1,2,0
393,1,2,2,0.594159165655251,2,0.0152349664856345
394,1,2,2,1,2,0
395,1,1,1,1,1,0
396,1,1,1,1,1,0
397,1,1,1,1,1,0
398,1,1,1,1,1,0
399,1,1,1,1,1,0
400,1,1,1,1,1,0
401,1,1,1,1,1,0
402,1,1,1,1,1,0
403,1,1,1,1,1,0
404,1,1,1,1,1,0
405,1,1,1,1,1,0
406,1,2,2,1,2,0
407,1,1,1,1,1,0
408,1,1,1,1,1,0
409,1,1,1,1,1,0
410,1,1,1,1,1,0
411,1,2,2,1,2,0
412,1,1,1,1,1,0
413,1,1,1,1,1,0
414,1,1,1,1,1,0
415,1,2,1,1,2,0
416,1,2,1,1,2,0
417,1,2,1,1,2,0
418,1,2,1,1,2,0
419,1,2,1,1,2,0
420,1,1,1,1,1,0
421,1,2,1,1,2,0
422,1,2,2,1,2,0
423,1,2,2,1,2,0
424,1,2,2,1,2,0
425,1,2,2,1,2,0
426,1,2,2,1,2,0
427,1,2,2,1,2,0
428,1,2,2,1,2,0
429,1,2,2,1,2,0
430,1,2,2,1,2,0
431,1,2,1,1,2,0
432,1,2,2,1,2,0
433,1,2,1,1,2,0
434,1,2,1,1,2,0
435,1,2,1,1,2,0
436,1,2,1,1,2,0
437,1,2,2,1,2,0
438,1,2,2,1,2,0
439,1,2,2,1,2,0
440,1,2,1,1,2,0
441,1,2,1,1,2,0
442,1,2,1,1,2,0
443,1,2,1,1,2,0
444,1,2,1,1,2,0
445,1,2,1,1,2,0
446,1,2,2,1,2,0
447,1,2,2,1,2,0
448,1,2,2,1,2,0
449,1,1,1,1,1,0
450,1,1,1,1,1,0
451,1,1,1,1,1,0
452,1,1,1,1,1,0
453,1,1,1,1,1,0
454,1,1,1,1,1,0
455,1,1,1,1,1,0
456,1,1,1,1,1,0
457,1,1,1,1,1,0
458,1,1,1,1,1,0
459,1,2,2,1,2,0
460,1,2,1,1,2,0
461,1,2,2,1,2,0
462,1,2,2,0.500266309269547,2,0.000964035323263315
463,1,2,2,0.502202526592177,2,0.00178615340004756
464,1,2,1,0.505447149924981,2,0.00153483519494181
465,1,2,1,1,2,0
466,1,2,2,1,2,0
467,1,2,2,1,2,0
468,1,1,1,1,1,0
469,1,1,1,1,1,0
470,1,1,1,1,1,0
471,1,1,1,1,1,0
472,1,1,1,1,1,0
473,1,1,1,1,1,0
474,1,1,1,1,1,0
475,1,1,1,1,1,0
476,1,2,2,1,2,0
477,1,1,1,1,1,0
478,1,1,1,1,1,0
479,1,1,1,1,1,0
480,1,1,1,1,1,0
481,1,1,1,1,1,0
482,1,1,1,1,1,0
483,1,1,1,1,1,0
484,1,1,1,1,1,0
485,1,1,1,1,1,0
486,1,1,1,1,1,0
487,1,1,1,1,1,0
488,1,1,1,1,1,0
489,1,1,1,1,1,0
490,1,1,1,1,1,0
491,1,1,1,1,1,0
492,1,1,1,1,1,0
493,1,1,1,1,1,0
494,1,1,1,1,1,0
495,1,1,1,1,1,0
496,1,1,1,1,1,0
497,1,1,1,1,1,0
498,1,1,1,1,1,0
499,1,1,1,1,1,0
500,1,1,1,1,1,0
501,1,1,1,1,1,0
502,1,1,1,1,1,0
503,1,1,1,1,1,0
504,1,1,1,1,1,0
505,1,1,1,1,1,0
506,1,1,1,1,1,0
507,1,1,1,1,1,0
508,1,1,1,1,1,0
509,1,1,1,1,1,0
510,1,1,1,1,1,0
511,1,1,1,1,1,0
512,1,1,1,1,1,0
513,1,1,1,1,1,0
514,1,1,1,1,1,0
515,1,1,1,1,1,0
516,1,1,1,1,1,0
517,1,1,1,1,1,0
518,1,1,1,1,1,0
519,1,1,1,1,1,0
520,1,1,1,1,1,0
521,1,1,1,1,1,0
522,1,1,1,1,1,0
523,1,1,1,1,1,0
524,1,1,1,1,1,0
525,1,1,1,1,1,0
526,1,1,1,1,1,0
527,1,1,1,1,1,0
528,1,1,1,1,1,0
529,1,1,1,1,1,0
530,1,1,1,1,1,0
531,1,1,1,1,1,0
532,1,1,1,1,1,0
533,1,1,1,1,1,0
534,1,1,1,1,1,0
535,1,1,1,1,1,0
536,1,1,1,1,1,0
537,1,1,1,1,1,0
538,1,1,1,1,1,0
539,1,1,1,1,1,0
540,1,1,1,1,1,0
541,1,1,1,1,1,0
542,1,1,1,1,1,0
543,1,1,1,1,1,0
544,1,1,1,1,1,0
545,1,1,1,1,1,0
546,1,1,1,1,1,0
547,1,1,1,1,1,0
548,1,1,1,1,1,0
549,1,1,1,1,1,0
550,1,1,1,1,1,0
551,1,1,1,1,1,0
552,1,1,1,1,1,0
553,1,1,1,1,1,0
554,1,1,1,1,1,0
555,1,1,1,1,1,0
556,1,1,1,1,1,0
557,1,1,1,1,1,0
558,1,1,1,1,1,0
559,1,1,1,1,1,0
560,1,1,1,1,1,0
561,1,1,1,1,1,0
562,1,1,1,1,1,0
563,1,1,1,1,1,0
564,1,1,1,1,1,0
565,1,1,1,1,1,0
566,1,1,1,1,1,0
567,1,1,1,1,1,0
568,1,1,1,1,1,0
569,1,1,1,1,1,0
570,1,1,1,1,1,0
571,1,1,1,1,1,0
