frame,start,repetition,order,totalMs,perceptionMs,registrationMs,overheadMs,accepted,reason,rank,iterations,sourceComponents,mapComponents,x,y,psi,positionDifferenceM,yawDifferenceDeg
900,1,0,16,111.697,92.661,19.016,0.0200000000000138,1,accepted,3,6,94,22,484396.520776056,4976621.53971986,0.0785381999167228,0.0618349788496039,0.559583020169252
900,2,0,17,99.175,84.309,14.846,0.0199999999999996,1,accepted,3,7,94,22,484396.520772382,4976621.53971907,0.0785390400279124,0.0618384460730401,0.55963115499474
900,3,0,18,100.801,87.437,13.344,0.0200000000000049,1,accepted,3,6,94,22,484396.520773345,4976621.53971912,0.0785388299157529,0.0618376287777828,0.559619116454775
1050,1,0,19,101.755,80.918,20.816,0.0209999999999866,1,accepted,3,11,88,25,484568.014121445,4976643.33168952,0.1183837396162,0.170766604767945,-0.725294197165997
1050,2,0,20,94.012,77.721,16.27,0.0209999999999972,1,accepted,3,8,88,25,484568.014122773,4976643.33169529,0.118383278068733,0.170771926515976,-0.725320641887853
1050,3,0,21,92.008,74.595,17.395,0.0180000000000113,1,accepted,3,9,88,25,484568.01411984,4976643.33168254,0.118384297589342,0.170760169511583,-0.725262227659839
120,1,0,22,83.41,65.216,18.173,0.0210000000000008,1,accepted,3,7,104,44,484199.208294534,4977468.56858888,-1.1050951815245,0.0729801151708051,-0.0538329859858149
120,2,0,23,83.645,66.151,17.476,0.0180000000000007,1,accepted,3,7,104,44,484199.208297288,4977468.56859293,-1.10509571349451,0.0729849419202837,-0.0538634656223833
120,3,0,24,78.525,64.033,14.471,0.0209999999999901,1,accepted,3,5,104,44,484199.208290669,4977468.56858767,-1.10509511152407,0.0729765535055108,-0.0538289752565032
260,1,0,25,78.437,67.281,11.135,0.0210000000000186,1,accepted,3,5,82,26,484229.701749982,4977311.92862636,-1.34136383136895,0.121073158069821,-0.237213838389248
260,2,0,26,78.269,67.305,10.944,0.0199999999999978,1,accepted,3,5,82,26,484229.70174272,4977311.92862401,-1.34136429600262,0.121066408106828,-0.23724045993743
260,3,0,27,80.103,70.648,9.437,0.0179999999999989,1,accepted,3,4,82,26,484229.701741887,4977311.92862329,-1.34136392427723,0.121065307677057,-0.237219161641533
350,1,0,28,75.448,61.837,13.589,0.0220000000000038,1,accepted,3,6,92,29,484253.454544574,4977184.18471423,-1.49983308574112,0.128690101570696,0.020224401487747
350,2,0,29,73.025,59.966,13.041,0.0180000000000042,1,accepted,3,6,92,29,484253.454542312,4977184.18471326,-1.49983313761161,0.128687970090965,0.0202214295270981
350,3,0,30,72.974,61.156,11.795,0.023000000000005,1,accepted,3,5,92,29,484253.45454235,4977184.18471327,-1.49983313651004,0.128687999372847,0.0202214926429158
550,1,0,31,100.936,85.075,15.837,0.0239999999999903,1,accepted,3,7,97,37,484319.011707394,4976932.59714749,-1.20895891970181,0.08555409709061,0.0274071476747055
550,2,0,32,96.977,80.937,16.017,0.0229999999999926,1,accepted,3,7,97,37,484319.011703775,4976932.59714596,-1.20895884095709,0.0855515006420523,0.0274116594147358
550,3,0,33,94.696,81.808,12.865,0.0229999999999908,1,accepted,3,5,97,37,484319.01170316,4976932.59714569,-1.20895882706874,0.0855510500479336,0.027412455158653
700,1,0,34,89.976,76.792,13.167,0.0169999999999977,0,inconsistentClasses,3,7,86,27,484338.387856726,4976756.23522041,-1.68444665955885,0.059803090323988,0.06585391961124
700,2,0,35,84.416,70.703,13.583,0.130000000000008,0,inconsistentClasses,3,7,86,27,484338.387851445,4976756.23522007,-1.68444678757349,0.059800874777522,0.0658465849126648
700,3,0,36,81.336,70.46,10.861,0.0150000000000041,0,inconsistentClasses,3,5,86,27,484338.387850205,4976756.23521995,-1.68444681712307,0.0598003082671711,0.0658448918462088
