frame,start,repetition,order,totalMs,perceptionMs,registrationMs,overheadMs,accepted,reason,rank,iterations,sourceComponents,mapComponents,x,y,psi,positionDifferenceM,yawDifferenceDeg
900,1,7,145,85.744,70.382,15.342,0.0199999999999942,1,accepted,3,7,94,64,484396.94345131,4976621.57081372,0.0816793185819688,0.372039482852971,0.739555862637615
260,1,7,146,70.143,58.34,11.784,0.0189999999999984,1,accepted,3,6,82,57,484229.745904705,4977312.00888434,-1.34325585920898,0.210781690787584,-0.345619048344313
350,3,7,147,75.785,61.856,13.911,0.0180000000000096,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
260,3,8,148,78.085,64.939,13.128,0.0180000000000149,1,accepted,3,7,82,57,484229.745907595,4977312.00889249,-1.34325590595235,0.210789908761945,-0.345621726542112
1050,2,8,149,79.763,63.793,15.953,0.0170000000000083,1,accepted,3,8,88,60,484567.751062949,4976643.25617664,0.128000263306228,0.315153040535861,-0.174307976139793
120,3,8,150,79.788,60.941,18.829,0.0179999999999971,1,accepted,3,7,104,81,484199.299781229,4977468.70877656,-1.10671518479332,0.239446809598065,-0.146652336086767
350,3,8,151,76.274,62.757,13.499,0.0180000000000096,1,accepted,3,6,92,85,484253.513400443,4977184.32287184,-1.50048901351725,0.276821775887118,-0.0173574917498781
350,1,8,152,71.374,57.107,14.25,0.0170000000000101,1,accepted,3,6,92,85,484253.513405994,4977184.32287283,-1.50048869217652,0.276825374009838,-0.0173390802822748
700,1,8,153,78.618,65.784,12.815,0.0190000000000037,1,accepted,3,6,86,57,484338.416353589,4976756.31467991,-1.68420922486605,0.144208480908875,0.0794579254189081
900,3,8,154,87.329,73.616,13.693,0.0200000000000085,1,accepted,3,6,94,64,484396.943446546,4976621.57080737,0.0816790516049394,0.372034793567822,0.739540565980606
900,2,8,155,87.088,72.246,14.818,0.0239999999999849,1,accepted,3,7,94,64,484396.943437749,4976621.57082473,0.0816785012024783,0.372025793942765,0.739509030242552
