mode,population,method,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg
per_frame_zero,native_without_full_measurement,motion_aided_observer,86,0.876755488402964,0.192394375664177,1.9238799377179,1.96164458236537,0.0581395348837209,0.209302325581395,0.710677070084005
per_frame_positive,native_full,lidar_measurement,1066,0.17710186432749,0.104577171699458,0.369100264552349,0.855137324422494,0.180112570356473,0.478424015009381,0.551785079370937
per_frame_positive,native_full,motion_aided_observer,1066,0.142862185523659,0.110427543521009,0.24850811966113,0.774428029708873,0.133208255159475,0.440900562851782,0.454116170897845
per_frame_positive,native_all,lidar_linear_reconstruction,1170,0.398229009373609,0.109705379677428,0.490219681272265,2.7566308442571,0.17008547008547,0.451282051282051,0.567627961591356
per_frame_positive,native_all,motion_aided_observer,1170,0.389497472268617,0.114574769814073,0.301605146757725,2.77354058324231,0.126495726495726,0.417948717948718,0.476416338676244
per_frame_positive,uniform_all,lidar_linear_reconstruction,11690,0.391854318755726,0.108637567032963,0.423857286839337,2.75763023753949,0.163216424294269,0.453464499572284,0.544748993942824
per_frame_positive,uniform_all,motion_aided_observer,11690,0.390052708997263,0.115248816148461,0.303798865619281,2.77357804589408,0.123096663815227,0.408982035928144,0.476089326137493
per_frame_positive,uniform_first60,lidar_linear_reconstruction,6001,0.167742279674021,0.0918135495312637,0.353713076997615,0.806072330149599,0.226628895184136,0.537410431594734,0.461750752663513
per_frame_positive,uniform_first60,motion_aided_observer,6001,0.145859207130613,0.0987308141238102,0.27370278257847,0.768107363090543,0.135144142642893,0.506415597400433,0.414383479390009
per_frame_positive,uniform_after60,lidar_linear_reconstruction,5689,0.534640150253522,0.124814354231069,1.09410492152035,2.75763023753949,0.0963262436280541,0.364914747758833,0.620379405650226
per_frame_positive,uniform_after60,motion_aided_observer,5689,0.538687642959921,0.129801039280045,1.17203340845976,2.77357804589408,0.110388468975215,0.306204956934435,0.533499659197703
per_frame_positive,native_without_full_measurement,lidar_linear_reconstruction,104,1.20938182468583,0.266193558219486,2.70038695496475,2.7566308442571,0.0673076923076923,0.173076923076923,0.709917230852315
per_frame_positive,native_without_full_measurement,motion_aided_observer,104,1.22373188183803,0.221429405206825,2.7097951004249,2.77354058324231,0.0576923076923077,0.182692307692308,0.663076614273893
per_frame_negative,native_full,lidar_measurement,1069,0.207377178427302,0.103202047099693,0.43533232764138,1.35176983633233,0.19176800748363,0.489242282507016,0.605412590153471
per_frame_negative,native_full,motion_aided_observer,1069,0.157955425961906,0.11045931546626,0.309333030322417,0.73200885247349,0.116931711880262,0.439663236669785,0.480323304952024
