frame,time,mode,fullPose,directionalPose,measurementType,reason,pvaErrorM,mappingErrorM,yawErrorDeg,registrationSeconds
7,0.573137447104761,per_frame_negative,1,0,fullPose,accepted,0.034122167856625,0.034122167856625,-0.0896590759799601,0.021868
7,0.573137447104761,per_frame_zero,1,0,fullPose,accepted,0.0341220718467055,0.0341220718467055,-0.0896563347757032,0.019866
7,0.573137447104761,lidar_only_recursive,1,0,fullPose,accepted,0.0341228030966218,0.0341228030966218,-0.0896561278853284,0.019194
8,0.696142957447247,per_frame_positive,1,0,fullPose,accepted,0.0332317562026457,0.0332317562026457,-0.081819214920575,0.021664
8,0.696142957447247,per_frame_negative,1,0,fullPose,accepted,0.0332326845015772,0.0332326845015772,-0.0818254535093738,0.02143
8,0.696142957447247,per_frame_zero,1,0,fullPose,accepted,0.0332286989173917,0.0332286989173917,-0.0818057700713779,0.019279
8,0.696142957447247,lidar_only_recursive,1,0,fullPose,accepted,0.0332325980177482,0.0332325980177482,-0.081825253468438,0.018702
9,0.799457519021782,per_frame_positive,1,0,fullPose,accepted,0.0388729007370754,0.0388729007370754,-0.0478122014907819,0.021112
9,0.799457519021782,per_frame_negative,1,0,fullPose,accepted,0.0388723486671585,0.0388723486671585,-0.0478127726371841,0.021112
9,0.799457519021782,per_frame_zero,1,0,fullPose,accepted,0.0388666412029053,0.0388666412029053,-0.0478147827918634,0.018763
9,0.799457519021782,lidar_only_recursive,1,0,fullPose,accepted,0.0388726374539136,0.0388726374539136,-0.0478124393710567,0.020126
10,0.899975222801402,per_frame_positive,1,0,fullPose,accepted,0.0364813516111274,0.0364813516111274,-0.136262998213417,0.020629
10,0.899975222801402,per_frame_negative,1,0,fullPose,accepted,0.0364814814901301,0.0364814814901301,-0.13626691356068,0.021538
10,0.899975222801402,per_frame_zero,1,0,fullPose,accepted,0.0364752984637549,0.0364752984637549,-0.1362103759627,0.018822
10,0.899975222801402,lidar_only_recursive,1,0,fullPose,accepted,0.0364813088956084,0.0364813088956084,-0.136262605765946,0.019324
11,1.00110482045967,per_frame_positive,1,0,fullPose,accepted,0.0239637458798039,0.0239637458798039,-0.0821019572369703,0.020894
11,1.00110482045967,per_frame_negative,1,0,fullPose,accepted,0.023964034901597,0.023964034901597,-0.082105155424367,0.02181
11,1.00110482045967,per_frame_zero,1,0,fullPose,accepted,0.0239621752906843,0.0239621752906843,-0.0820951510936079,0.018605
11,1.00110482045967,lidar_only_recursive,1,0,fullPose,accepted,0.0239637904522332,0.0239637904522332,-0.0821027042566472,0.019541
12,1.09932419466826,per_frame_positive,1,0,fullPose,accepted,0.0391429187257533,0.0391429187257533,-0.100928631005204,0.021206
12,1.09932419466826,per_frame_negative,1,0,fullPose,accepted,0.0391444296208114,0.0391444296208114,-0.100934555444993,0.022067
12,1.09932419466826,per_frame_zero,1,0,fullPose,accepted,0.0391428537440609,0.0391428537440609,-0.100928221232157,0.019959
12,1.09932419466826,lidar_only_recursive,1,0,fullPose,accepted,0.0391328606785223,0.0391328606785223,-0.100890411555457,0.019192
13,1.19983919676857,per_frame_positive,1,0,fullPose,accepted,0.0363262522441313,0.0363262522441313,-0.075326139094752,0.020547
