method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
optimized,700,2,2,70,75.34,68.129,7.184,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,700,3,2,71,85.996,75.025,10.949,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,2,72,74.874,67.682,7.169,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,900,1,2,73,99.332,83.817,15.493,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,2,74,80.971,72.597,8.349,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
baseline,900,2,2,75,98.272,82.068,16.179,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
optimized,900,2,2,76,85.391,77.842,7.526,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,3,2,77,102.837,88.367,14.449,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,2,78,84.593,78.094,6.473,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,1050,1,2,79,92.411,75.123,17.264,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,2,80,73.393,65.155,8.217,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,1050,2,2,81,95.809,77.985,17.804,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,1050,2,2,82,72.162,65.928,6.213,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,1050,3,2,83,87.261,71.031,16.208,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,2,84,75.606,67.358,8.228,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
