method,frame,start,repetition,order,totalMs,perceptionMs,registrationMs,accepted,reason,iterations,x,y,psi
optimized,350,1,3,92,66.196,58.917,7.252,1,accepted,6,484253.513405994,4977184.32287283,-1.50048869217652
baseline,1050,3,3,93,88.191,72.199,15.968,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,1050,3,3,94,71.902,65.837,6.044,1,accepted,7,484567.751059248,4976643.25616069,0.128001545817001
optimized,900,2,3,95,78.765,71.707,7.037,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,900,2,3,96,103.937,87.344,16.573,1,accepted,7,484396.943437749,4976621.57082473,0.0816785012024783
baseline,700,2,3,97,96.146,81.253,14.868,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
optimized,700,2,3,98,79.058,72.241,6.792,1,accepted,7,484338.416346514,4976756.31468095,-1.684209439972
baseline,1050,1,3,99,91.277,74.166,17.091,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,3,100,72.834,65.76,7.055,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,120,2,3,101,71.913,63.601,8.286,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,120,2,3,102,95.541,72.898,22.621,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,3,3,103,69.347,61.704,7.621,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,120,3,3,104,88.147,68.409,19.719,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
baseline,350,2,3,105,82.28,65.915,16.345,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,350,2,3,106,67.014,59.103,7.888,1,accepted,7,484253.513400358,4977184.32287391,-1.50048899856276
optimized,1050,2,3,107,78.156,69.94,8.194,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
baseline,1050,2,3,108,89.6,72.684,16.896,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
optimized,700,1,3,109,73.809,67.21,6.573,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,700,1,3,110,91.9,79.437,12.439,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,900,3,3,111,98.491,83.291,15.177,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
optimized,900,3,3,112,84.908,77.859,7.027,1,accepted,6,484396.943446546,4976621.57080737,0.0816790516049394
baseline,700,3,3,113,87.45,75.281,12.145,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,700,3,3,114,79,69.688,9.287,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
optimized,550,1,3,115,88.341,81.14,7.178,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
baseline,550,1,3,116,95.157,80.386,14.749,1,accepted,6,484318.963467551,4976932.61288377,-1.20165136270671
optimized,260,2,3,117,68.087,61.221,6.846,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,2,3,118,80.572,64.202,16.349,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,3,3,119,83.635,69.571,14.044,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,3,120,68.681,62.499,6.163,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,900,1,3,121,101.708,84.103,17.583,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,900,1,3,122,81.249,75.022,6.207,1,accepted,7,484396.94345131,4976621.57081372,0.0816793185819688
optimized,260,1,3,123,64.929,59.298,5.611,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,260,1,3,124,82.604,69,13.583,1,accepted,6,484229.745904705,4977312.00888434,-1.34325585920898
baseline,350,3,3,125,80.872,65.556,15.296,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,350,3,3,126,67.37,60.08,7.267,1,accepted,6,484253.513400443,4977184.32287184,-1.50048901351725
optimized,260,2,4,127,64.995,58.101,6.872,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,260,2,4,128,80.684,66.175,14.488,1,accepted,8,484229.745914492,4977312.00889569,-1.34325727183373
baseline,1050,1,4,129,88.928,72.37,16.536,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
optimized,1050,1,4,130,70.816,64.668,6.128,1,accepted,8,484567.751058829,4976643.25615888,0.128001691396435
baseline,120,3,4,131,90.215,70.637,19.558,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,120,3,4,132,72.021,63.964,8.037,1,accepted,7,484199.299781229,4977468.70877656,-1.10671518479332
optimized,700,1,4,133,78.232,71.328,6.882,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
baseline,700,1,4,134,89.865,76.946,12.897,1,accepted,6,484338.416353589,4976756.31467991,-1.68420922486605
optimized,700,3,4,135,75.527,69.11,6.393,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,700,3,4,136,83.514,71.417,12.075,1,accepted,5,484338.416344518,4976756.31468122,-1.68420950071304
baseline,260,3,4,137,79.447,66.193,13.231,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
optimized,260,3,4,138,67.504,60.914,6.562,1,accepted,7,484229.745907595,4977312.00889249,-1.34325590595235
baseline,120,2,4,139,93.906,71.729,22.156,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
optimized,120,2,4,140,71.619,63.571,8.027,1,accepted,8,484199.342133934,4977468.71786419,-1.10944198920551
baseline,1050,2,4,141,90.016,73.443,16.554,1,accepted,8,484567.751062949,4976643.25617664,0.128000263306228
