scenario,time,positionErrorM,yawErrorDeg,lateralVelocityMps,sideSlipAngleRad
fusion_1.3,54.2,0.218786902918625,0.398155584111661,-0.00225269887721766,0.000719423412718423
fusion_1.3,54.3,0.219639501431439,0.368672437558913,0.00100347768931206,0.000290272857489632
fusion_1.3,54.4,0.188414205996627,0.339891674158709,0.00337042837823719,0.00015589078315249
fusion_1.3,54.5,0.183243720800077,0.400032716886122,0.00790847684475735,0.000229789636893972
fusion_1.3,54.6,0.203073811328679,0.443711057495348,0.00333994107874316,0.000431006145290295
fusion_1.3,54.7,0.177190256407075,0.458639062651543,0.00745351512349788,0.000455539462262901
fusion_1.3,54.8,0.190075219930722,0.394033938206795,0.00690054630275031,0.000532434246118021
fusion_1.3,54.9,0.190800631037258,0.3474818673313,-3.99186572312261e-05,0.00045975573656222
fusion_1.3,55,0.203840387677426,0.516986360709069,0.00737781128416502,0.000331314426020966
fusion_1.3,55.1,0.186048553492386,0.65320319830325,0.000495884134126633,0.000411874029822063
fusion_1.3,55.2,0.189719648355621,0.704775328496372,-0.00636350993014493,0.000200034505306017
fusion_1.3,55.3,0.217029898585988,0.638024352892971,-0.00376504850367854,-0.000128418377217875
fusion_1.3,55.4,0.214544300092816,0.601419166731637,-0.00084087176687295,-0.000210846925857082
fusion_1.3,55.5,0.211621981551551,0.607434863192102,-0.00265908641721953,-0.000185233585818114
fusion_1.3,55.6,0.206726157482342,0.721558831744332,0.00756134002108411,-5.55482453159811e-05
fusion_1.3,55.7,0.202045855048207,0.710360595430655,-0.00256700162728172,0.000278398309955251
fusion_1.3,55.8,0.173274280553819,0.613863699994255,-0.00411828632723975,-1.84435960205011e-05
fusion_1.3,55.9,0.193430372844071,0.583244431321234,0.00210497551211942,-0.000102952814070134
fusion_1.3,56,0.176229935486797,0.553056107120739,0.00423149856549947,2.0807983690883e-05
fusion_1.3,56.1,0.20415962116688,0.612649385861654,0.00399073295097457,0.000195815327277143
fusion_1.3,56.2,0.18493764482944,0.61263423125875,-0.00316213393185019,0.000191380423477301
fusion_1.3,56.3,0.187365153435638,0.529126953915011,-0.00174310113383744,-1.03628304901381e-05
fusion_1.3,56.4,0.187377318820084,0.46045188826559,0.00850344376442003,-3.54837003988405e-05
fusion_1.3,56.5,0.210662240143664,0.400029280592046,0.00831432088155174,0.000338058274541167
fusion_1.3,56.6,0.17889544691444,0.299123100952319,0.00373433552438901,0.000520297841403045
fusion_1.3,56.7,0.201400915126259,0.3527430447217,0.00280026269199731,0.000387219221794136
fusion_1.3,56.8,0.172049771021523,0.383520497227603,0.00711265225546491,0.000302472153658799
fusion_1.3,56.9,0.176412804274426,0.286939439944275,0.00599035157269552,0.000427272480360786
fusion_1.3,57,0.181711373639296,0.250262812058957,0.00154068951712579,0.000374068696223524
fusion_1.3,57.1,0.211763163480903,0.126996202762469,0.00312768696590166,0.000273396797153654
fusion_1.3,57.2,0.186124847485065,0.150477835928642,0.00105230814791473,0.000193256155459594
fusion_1.3,57.3,0.18438690013267,0.193391669628983,0.00432843545540662,0.000151793902181537
fusion_1.3,57.4,0.182284648381712,0.330394439287486,0.000284804020717308,0.000221645390679615
fusion_1.3,57.5,0.208039183989482,1.18566872231502,0.00242215846518203,0.000186229992295711
fusion_1.3,57.6,0.206262210480636,1.66138191427354,0.00324102888475284,0.000196944313687565
fusion_1.3,57.7,0.20254256811005,1.04564484973908,-0.00330051710720576,0.000128488283378297
fusion_1.3,57.8,0.174612653836593,0.829782718582607,0.00734573352162143,3.17211748660484e-05
fusion_1.3,57.9,0.1742978523706,0.882384655543434,0.0063157763269368,0.00025560832834047
fusion_1.3,58,0.180885283210049,0.360767654741056,0.00621585799351492,0.000389996646884823
fusion_1.3,58.1,0.211762011249673,0.211230615242417,0.00632349005187979,0.000519226191693838
