frame,timeSeconds,accepted,reason,positionErrorM,yawErrorDeg,similarity,rank,iterations,matches,totalMs,perceptionMs,registrationMs,mapSelectionMs,diskLoadMs,informationXX,informationXY,informationXPsi,informationYY,informationYPsi,informationPsiPsi
12,1.09932750687244,1,accepted,0.0507319868901983,-0.224752098285651,0.736181473165513,3,4,31,131.67,126.317,4.541,0.716,612.484,10.9475356267806,-2.12501157586541,60.0755105710766,12.5888582566546,-11.3372086042078,2853.72398028613
13,1.1998355002191,1,accepted,0.0693956720329417,-0.180338344389445,0.651926102856682,3,4,34,138.14,132.609,4.603,0.831,596.628,10.5098386378296,-1.37933807542649,62.0437495960764,12.3559428803486,-1.94526697130719,2878.70066795322
14,1.30017228829188,1,accepted,0.0788707465043434,-0.0450145948547164,0.760836167376612,3,4,38,131.422,125.499,5.035,0.787,609.24,10.0951382010269,-1.93969682656464,86.7056943954322,12.7421083964658,-23.230387536644,3338.84600701368
15,1.40011696184408,1,accepted,0.0644626703101705,-0.114364969269533,0.739674526053516,3,4,38,132.315,126.706,4.795,0.715,606.339,10.3962286232786,-1.58970986794253,99.884103455032,12.7257267969278,-8.72409091844659,3773.10958992778
16,1.500786810402,1,accepted,0.0899390227399544,-0.0919013069902978,0.724207618212098,3,5,36,130.429,124.35,5.161,0.803,614.428,9.81369386969313,-1.61113650790304,73.7526957928608,12.226760416319,-2.43331475008786,3172.95454328906
17,1.57549928812889,1,accepted,0.101176716602647,-0.118074254868493,0.692702938578613,3,4,43,130.768,125.165,4.814,0.695,602.417,10.5037338443652,-1.2427083813391,80.5347487589364,12.5148155164865,-6.28750786011537,3816.48802679932
18,1.65633070789942,1,accepted,0.0747858872700427,-0.0953315350846932,0.757025030547942,3,5,35,130.62,124.853,4.92,0.746,600.548,9.66887171405208,-1.25955533422804,75.9298773204413,12.1602628704768,-9.35295337649205,3196.96096830184
19,1.79961184337568,1,accepted,0.0737744864715696,-0.123219937090615,0.672044621164843,3,4,32,128.702,123.375,4.532,0.699,612.599,10.7921381043214,-1.5927289682115,76.6645906146424,12.5506121033584,-5.71012350987785,3522.76208941753
20,1.89930433627326,1,accepted,0.0785847818074597,-0.0947455547294511,0.773629367758754,3,3,40,129.759,124.686,4.264,0.71,595.83,9.82548816147864,-1.73170293385994,56.7369129364568,12.2837333301231,3.12066958395816,2966.69585073674
21,1.99968899340895,1,accepted,0.0786048137971055,-0.0940962054077857,0.688808436964128,3,4,41,128.662,123.261,4.782,0.527,595.647,9.34621772368132,-1.59608495324778,53.129933154861,12.2460905545124,31.3499059186938,2752.42380862774
22,2.0993672330735,1,accepted,0.00959465111479886,-0.098355776336532,0.710679326993821,3,5,38,124.598,118.841,5.06,0.6,563.414,9.26400271894567,-3.05241622594553,67.1505233014473,12.0532438487512,-35.2636168931525,2390.84413786186
23,2.20011879636184,1,accepted,0.0870460331367907,-0.137872301436051,0.632138912376753,3,5,36,127.812,122.268,4.878,0.572,557.007,10.3434975653829,-1.24788886716641,76.7353763571156,12.326963312756,-9.93452344398111,3019.16306408824
24,2.29986766709318,0,inconsistentClasses,0.0887624932472767,-0.155149201161808,0.642249036002526,3,5,38,127.693,119.667,6.957,0.583,565.392,8.26399570724974,-1.47452673943108,60.7559799886047,9.86527084201823,-1.09226569125074,2199.18266522156
25,2.39972715196075,1,accepted,0.0775664677310149,-0.0651415176576847,0.740257104094588,3,4,37,120.59,115.146,4.575,0.443,561.499,9.43120598770507,-1.54089344181538,57.2519156014174,12.1428654532725,6.66903622618047,2876.56828642701
26,2.49945517199059,1,accepted,0.0453352398472648,-0.095864289027844,0.754182444770833,3,5,29,118.768,113.132,4.866,0.672,562.946,10.5434599166952,-1.32100740818826,67.1873794602256,12.4991831892851,-0.80234962764041,3252.68718654673
