frameIdx,curb,roadMarking,pole,trafficSign
484,90,0,124,123
485,94,0,146,114
486,92,0,159,117
487,82,7,91,134
488,61,0,101,141
489,59,2,0,147
490,59,13,97,169
491,59,590,100,190
492,57,510,38,208
493,52,498,182,229
494,50,429,218,216
495,42,481,97,245
496,55,232,203,285
497,7,587,328,335
498,49,124,462,387
499,67,125,522,470
500,66,121,379,523
501,77,118,755,511
502,95,0,564,242
503,98,1,506,154
504,101,0,848,131
505,175,24,735,100
506,167,40,667,81
507,128,62,782,87
508,135,101,647,72
509,128,155,569,77
510,124,202,463,72
511,136,228,410,76
512,141,223,491,84
513,131,216,558,95
514,137,217,575,242
515,140,217,456,301
516,137,217,318,268
517,124,209,215,273
518,131,211,165,272
519,134,207,105,228
520,120,223,223,203
521,136,219,220,171
522,118,223,171,147
523,117,218,144,144
524,112,218,220,123
525,134,220,239,128
526,126,218,358,113
527,119,211,342,100
528,120,233,219,84
529,117,210,393,78
530,100,212,293,82
531,106,204,26,78
532,97,204,225,66
533,97,215,47,59
534,94,203,112,57
535,93,196,94,56
536,98,190,124,64
537,115,184,85,51
538,116,178,52,59
539,138,168,44,59
540,147,152,26,54
541,157,120,22,60
542,151,102,24,60
543,159,108,30,61
544,155,102,31,69
545,159,101,40,78
546,151,109,39,81
547,149,97,52,88
548,138,104,0,108
549,141,111,75,132
550,148,113,0,140
551,141,95,0,148
552,130,102,304,147
553,144,102,431,16
554,154,93,466,3
555,162,96,414,4
556,152,85,259,3
557,125,95,521,5
558,136,84,496,7
559,123,84,371,9
560,140,74,206,6
561,136,74,204,7
562,135,72,132,9
563,115,70,148,10
564,130,62,180,50
565,141,49,68,62
566,125,43,33,72
567,122,46,0,87
568,115,42,8,89
569,110,33,15,73
570,97,37,39,80
571,100,41,14,82
572,83,43,0,73
573,86,43,51,73
574,90,41,28,76
575,64,555,0,79
576,111,44,0,91
577,122,41,0,96
578,74,557,0,104
579,72,363,47,94
580,71,345,355,48
581,131,22,191,20
582,120,15,360,20
583,110,9,296,18
584,127,7,231,15
585,125,7,147,14
586,128,9,74,16
587,127,15,69,14
588,117,15,88,12
589,122,15,126,11
590,119,18,75,8
591,102,19,31,8
592,102,16,76,10
593,95,20,34,7
594,98,18,27,7
595,105,22,23,7
596,90,24,0,6
597,60,21,0,7
598,29,409,25,5
599,26,70,41,6
600,30,201,64,5
601,48,14,72,5
602,53,36,98,5
603,62,31,121,0
604,55,30,189,0
605,86,16,208,0
606,79,13,261,0
607,76,15,286,0
608,135,12,439,0
609,129,5,409,0
610,109,3,245,0
611,121,5,350,1
612,128,29,326,0
613,115,34,308,0
614,112,48,244,0
615,101,77,222,0
616,106,99,129,0
617,134,137,59,0
618,114,80,129,1
619,105,67,81,0
620,106,49,81,0
621,93,6,79,1
622,82,1,101,0
623,97,30,0,3
624,82,5,72,7
625,89,2,13,5
626,84,3,57,6
627,85,7,0,9
628,104,11,0,7
629,106,10,82,8
630,109,13,169,9
631,130,16,58,15
632,128,21,77,17
633,122,19,150,9
634,121,30,125,11
635,119,37,0,11
636,126,40,101,12
637,126,32,150,11
638,124,36,133,11
639,122,38,228,13
640,128,43,293,15
641,123,46,339,13
642,121,55,325,15
643,113,52,238,19
644,128,67,296,21
645,134,65,402,22
646,141,64,232,24
647,145,64,280,24
648,156,64,206,27
649,143,70,300,32
650,139,69,133,33
651,143,72,83,38
652,128,78,55,42
653,124,74,30,47
654,126,68,27,57
655,123,67,31,61
656,113,63,51,73
657,119,60,40,85
658,118,64,84,104
659,123,57,47,117
660,125,46,44,135
661,120,50,101,173
662,113,49,75,203
663,126,59,102,258
664,121,66,173,313
665,131,60,103,341
666,122,71,67,207
667,127,63,55,13
668,149,64,370,0
669,140,69,408,10
670,131,64,122,39
671,120,64,315,43
672,119,51,340,52
673,102,51,237,48
674,98,51,254,43
675,92,55,101,40
676,91,51,160,29
677,80,45,171,23
678,85,54,292,24
679,97,50,194,24
680,104,50,81,19
681,112,52,157,16
682,118,46,188,13
683,125,45,180,12
684,138,50,248,13
685,140,50,249,10
686,125,53,180,9
687,133,52,160,10
688,123,50,182,5
689,126,44,246,7
690,128,53,227,7
691,107,48,342,5
692,115,49,348,6
693,118,48,326,4
694,119,47,363,4
695,136,52,333,2
696,128,58,180,3
697,118,51,221,2
698,122,50,475,2
699,107,52,74,3
700,98,58,222,3
701,90,54,68,2
702,88,44,122,3
703,83,42,115,2
704,84,42,133,8
705,84,41,78,7
706,87,45,85,5
707,95,47,56,5
708,101,48,106,6
709,115,50,78,5
710,113,48,145,5
711,122,55,162,6
712,119,59,227,7
713,122,59,205,6
714,120,64,274,8
715,125,71,62,9
716,124,79,425,8
717,114,86,453,7
718,115,100,328,7
719,115,107,277,8
720,106,126,0,9
721,105,139,252,12
722,94,168,180,24
723,89,178,156,31
724,76,169,111,34
725,82,162,82,34
726,70,173,67,36
727,56,487,41,38
728,60,178,38,35
729,57,370,18,45
730,57,523,19,41
731,61,21,63,48
732,58,376,106,51
733,66,0,103,49
734,67,65,79,64
735,90,58,82,70
736,80,41,101,77
737,90,41,102,88
738,94,2,0,101
739,117,0,189,127
740,113,0,222,160
741,115,0,302,196
742,112,0,353,228
743,106,0,467,223
744,110,0,589,42
745,107,0,327,7
746,98,0,422,7
747,88,0,794,6
748,88,0,752,6
749,86,0,633,10
750,86,0,687,7
751,96,0,654,8
752,102,0,430,9
753,99,0,405,10
754,102,0,319,11
755,110,0,490,12
756,109,0,470,15
