query,fixed,errorX,errorY,yawErrorRad,accepted,similarity,matchedFraction,reason,queryYaw,fixedYaw,pairs,usedForFit,predictedX,predictedY,residualM
100,85,1.01107034872985,0.0165160726755857,0.00541953669557182,1,0.160759553635083,0.307692307692308,accepted,-1.36297014853451,-1.80429375396075,16,1,0.993667513684849,0.0547116804392455,0.0419733620292523
100,90,0.677542470570188,0.063827145844698,0.00400685289655489,1,0.305793108555156,0.365384615384615,accepted,-1.36297014853451,-1.66788042828017,19,1,0.685259260073293,0.0848616676565059,0.022405355343905
105,80,1.60630767140538,-0.00792050734162331,0.00971681799743296,1,0.303712596115945,0.28125,accepted,-1.2323328931039,-1.93491668587784,18,1,1.56222141752664,0.0860276791809392,0.103777933742863
105,85,1.34763166733319,0.130129967816174,0.0112496307175036,1,0.209469614463351,0.21875,accepted,-1.2323328931039,-1.80429375396075,14,1,1.27335734944976,0.153958440430837,0.0780030153532347
105,90,0.970456684299279,0.0941936410963535,0.00876056117732649,1,0.200916864341657,0.203125,accepted,-1.2323328931039,-1.66788042828017,13,1,0.9649490958382,0.184108427648097,0.0900833079504868
105,100,0.311000071524177,0.0538268331438303,0.00509866693980188,1,0.593069420895261,0.75,accepted,-1.2323328931039,-1.36297014853451,48,1,0.279689835764907,0.0992467599915914,0.0551661183894337
110,85,1.53521383018233,0.188495739363134,0.0210173375192433,1,0.276763942279464,0.270833333333333,accepted,-1.1509022086822,-1.80429375396075,13,0,1.44024363787039,0.233961057933156,0.105292129907416
110,90,1.09869381174212,0.148264529183507,0.0199082083118591,1,0.226726464966556,0.229166666666667,accepted,-1.1509022086822,-1.66788042828017,11,0,1.13183538425883,0.264111045150417,0.120493896486718
110,100,0.549957951065153,0.0699017392471433,0.0167024049800064,1,0.51993913719543,0.666666666666667,accepted,-1.1509022086822,-1.36297014853451,32,1,0.446576124185542,0.179249377493911,0.150481587309251
110,105,0.199581277032848,0.0547677893191576,0.00798156112223425,1,0.695754165332499,0.895833333333333,accepted,-1.1509022086822,-1.2323328931039,43,1,0.166886288420634,0.0800026175023193,0.0413008333304123
