variant,frame,candidateCount,fineCount,fineShared,baselineCount,baselineShared,fineRecallTol,baselineRecallTol,baselinePrecisionTolCount
defaultNoIsolation,11,34,4,4,10,7,4,8,9
defaultNoIsolation,21,27,5,4,11,9,5,9,9
defaultNoIsolation,31,33,1,1,13,8,1,10,10
defaultNoIsolation,41,28,2,2,11,7,2,8,8
defaultNoIsolation,51,21,6,6,8,6,6,7,6
defaultNoIsolation,61,30,6,6,10,7,6,9,8
defaultNoIsolation,71,26,8,8,13,10,8,12,10
defaultNoIsolation,81,25,4,4,9,9,4,9,10
defaultNoIsolation,91,31,4,4,11,9,4,10,9
defaultNoIsolation,101,46,2,2,15,10,2,12,12
defaultNoIsolation,111,56,3,3,16,13,3,16,15
defaultNoIsolation,121,50,2,2,11,8,2,11,9
defaultNoIsolation,131,41,0,0,8,3,0,3,3
defaultNoIsolation,141,45,2,2,8,6,2,7,6
defaultNoIsolation,151,42,6,5,8,6,6,8,6
defaultNoIsolation,161,40,1,1,3,3,1,3,3
defaultNoIsolation,171,38,3,3,6,5,3,6,5
defaultNoIsolation,181,34,2,2,4,3,2,3,4
defaultNoIsolation,191,40,3,2,4,4,3,4,5
defaultNoIsolation,201,56,1,1,6,5,1,5,5
defaultNoIsolation,211,58,2,2,5,4,2,5,5
defaultNoIsolation,221,51,2,1,5,5,2,5,5
defaultNoIsolation,231,48,1,1,3,3,1,3,3
defaultNoIsolation,241,59,1,1,5,5,1,5,5
defaultNoIsolation,251,43,2,2,3,1,2,1,2
defaultNoIsolation,261,54,1,1,2,2,1,2,2
defaultNoIsolation,271,48,2,2,3,2,2,3,3
defaultNoIsolation,281,50,2,2,8,7,2,8,7
defaultNoIsolation,291,54,4,4,6,5,4,6,5
defaultNoIsolation,301,30,2,1,1,1,1,1,1
defaultNoIsolation,311,26,4,4,6,5,4,6,5
defaultNoIsolation,321,39,1,1,3,3,1,3,3
defaultNoIsolation,331,47,4,4,9,6,4,7,6
defaultNoIsolation,341,49,2,2,6,5,2,6,6
defaultNoIsolation,351,48,3,3,7,4,3,4,4
defaultNoIsolation,361,52,2,2,6,4,2,5,5
defaultNoIsolation,371,70,1,1,5,5,1,5,5
defaultNoIsolation,381,50,2,2,3,3,2,3,3
defaultNoIsolation,391,59,1,1,2,2,1,2,2
defaultNoIsolation,401,38,2,2,2,2,2,2,2
defaultNoIsolation,411,32,2,2,2,2,2,2,2
defaultNoIsolation,421,35,1,1,3,1,1,1,1
defaultNoIsolation,431,36,2,2,3,2,2,3,3
defaultNoIsolation,441,27,2,2,6,4,2,6,4
defaultNoIsolation,451,26,2,2,4,2,2,3,3
defaultNoIsolation,461,25,1,1,4,4,1,4,4
defaultNoIsolation,471,20,1,1,3,2,1,2,2
defaultNoIsolation,481,9,3,3,4,3,3,3,4
defaultNoIsolation,491,9,1,1,6,4,1,4,5
defaultNoIsolation,501,24,6,4,10,9,6,9,11
defaultNoIsolation,511,32,4,4,8,7,4,8,9
defaultNoIsolation,521,37,4,4,8,7,4,7,8
defaultNoIsolation,531,43,2,2,4,3,2,4,4
defaultNoIsolation,541,35,2,1,3,2,2,2,2
defaultNoIsolation,551,38,0,0,10,7,0,9,7
defaultNoIsolation,561,48,3,3,9,7,3,7,8
defaultNoIsolation,571,42,0,0,5,4,0,5,5
defaultNoIsolation,581,29,1,1,5,4,1,5,4
defaultNoIsolation,591,35,1,1,2,1,1,1,1
defaultNoIsolation,601,43,2,2,6,5,2,6,5
defaultNoIsolation,611,49,2,2,6,6,2,6,7
defaultNoIsolation,621,54,2,2,4,3,2,3,3
defaultNoIsolation,631,39,2,2,5,4,2,5,4
defaultNoIsolation,641,34,4,3,3,1,3,2,3
defaultNoIsolation,651,40,2,2,3,2,2,2,4
defaultNoIsolation,661,41,2,2,7,7,2,7,7
defaultNoIsolation,671,50,2,2,8,6,2,6,8
defaultNoIsolation,681,47,1,1,12,8,1,10,8
defaultNoIsolation,691,63,1,1,8,8,1,8,8
defaultNoIsolation,701,55,1,1,5,3,1,4,6
defaultNoIsolation,711,57,3,3,5,4,3,4,4
defaultNoIsolation,721,39,2,2,4,2,2,3,3
defaultNoIsolation,731,46,1,1,9,8,1,9,9
defaultNoIsolation,741,55,2,2,9,4,2,5,6
defaultNoIsolation,751,47,4,3,6,5,4,6,7
defaultNoIsolation,761,52,1,1,7,4,1,5,4
defaultNoIsolation,771,38,3,2,5,4,3,4,5
defaultNoIsolation,781,53,3,3,5,5,3,5,5
defaultNoIsolation,791,53,4,4,15,11,4,14,11
defaultNoIsolation,801,53,5,5,3,3,5,3,4
defaultNoIsolation,811,57,4,4,12,7,4,9,8
defaultNoIsolation,821,40,1,1,12,10,1,11,12
defaultNoIsolation,831,56,5,5,12,9,5,10,11
defaultNoIsolation,841,54,2,2,4,4,2,4,4
defaultNoIsolation,851,55,4,2,5,5,4,5,5
defaultNoIsolation,861,38,1,1,7,3,1,4,3
defaultNoIsolation,871,37,2,2,7,6,2,7,6
defaultNoIsolation,881,33,2,2,11,8,2,10,8
defaultNoIsolation,891,55,6,5,12,10,6,10,10
defaultNoIsolation,901,48,1,1,10,8,1,8,10
defaultNoIsolation,911,63,5,5,9,8,5,8,9
defaultNoIsolation,921,65,2,2,10,7,2,9,10
defaultNoIsolation,931,72,5,4,10,6,5,9,8
defaultNoIsolation,941,65,3,3,14,11,3,13,11
defaultNoIsolation,951,67,3,3,9,7,3,7,7
defaultNoIsolation,961,74,0,0,10,5,0,6,5
defaultNoIsolation,971,61,4,4,11,7,4,9,8
defaultNoIsolation,981,65,4,4,10,6,4,9,9
defaultNoIsolation,991,59,1,1,6,6,1,6,7
defaultNoIsolation,1001,57,1,1,5,4,1,4,4
defaultNoIsolation,1011,62,2,2,14,9,2,12,12
defaultNoIsolation,1021,50,5,5,14,12,5,13,14
defaultNoIsolation,1031,69,3,2,13,8,3,11,8
defaultNoIsolation,1041,65,1,1,10,7,1,8,9
defaultNoIsolation,1051,58,2,2,8,6,2,7,6
defaultNoIsolation,1061,45,1,1,9,7,1,8,8
defaultNoIsolation,1071,41,4,4,15,9,4,11,9
defaultNoIsolation,1081,54,6,6,18,15,6,16,17
defaultNoIsolation,1091,58,5,5,18,13,5,15,13
defaultNoIsolation,1101,70,10,10,18,13,10,15,17
defaultNoIsolation,1111,71,4,4,15,10,4,13,11
defaultNoIsolation,1121,69,3,3,15,10,3,14,11
defaultNoIsolation,1131,65,1,1,12,5,1,7,7
defaultNoIsolation,1141,62,0,0,9,5,0,5,5
defaultNoIsolation,1151,69,1,1,20,15,1,17,17
defaultNoIsolation,1161,52,6,5,10,6,6,10,9
subset,1,15,3,3,11,7,3,8,8
subset,11,18,4,4,10,8,4,9,10
subset,21,15,5,3,11,3,5,4,3
subset,31,11,1,1,13,4,1,5,4
subset,41,13,2,2,11,6,2,6,6
subset,51,17,6,6,8,6,6,6,6
subset,61,14,6,6,10,6,6,7,7
subset,71,16,8,8,13,7,8,9,8
subset,81,19,4,4,9,7,4,9,8
subset,91,19,4,4,11,7,4,8,8
subset,101,22,2,2,15,9,2,11,11
subset,111,26,3,3,16,10,3,13,12
subset,121,15,2,2,11,5,2,7,6
subset,131,11,0,0,8,3,0,3,4
subset,141,11,2,2,8,5,2,5,6
subset,151,14,6,6,8,7,6,8,8
subset,161,11,1,1,3,3,1,3,3
subset,171,9,3,3,6,4,3,4,4
subset,181,6,2,2,4,3,2,3,4
subset,191,8,3,3,4,2,3,2,3
subset,201,10,1,1,6,2,1,2,2
subset,211,15,2,2,5,3,2,5,4
subset,221,17,2,2,5,4,2,5,5
subset,231,10,1,1,3,2,1,2,2
subset,241,10,1,1,5,4,1,5,4
subset,251,12,2,2,3,1,2,1,2
subset,261,8,1,1,2,1,1,1,1
subset,271,16,2,2,3,2,2,3,3
subset,281,17,2,2,8,4,2,4,4
subset,291,26,4,4,6,5,4,6,5
subset,301,10,2,1,1,1,1,1,1
subset,311,23,4,4,6,2,4,2,2
subset,321,18,1,1,3,3,1,3,4
subset,331,15,4,4,9,6,4,7,7
subset,341,18,2,2,6,4,2,4,6
subset,351,16,3,3,7,4,3,4,4
subset,361,21,2,2,6,3,2,4,4
subset,371,21,1,1,5,3,1,3,4
subset,381,18,2,2,3,3,2,3,3
subset,391,12,1,1,2,2,1,2,3
subset,401,8,2,2,2,2,2,2,2
subset,411,9,2,2,2,2,2,2,2
subset,421,7,1,1,3,3,1,3,3
subset,431,10,2,2,3,2,2,3,3
subset,441,11,2,2,6,3,2,5,4
subset,451,11,2,2,4,3,2,3,4
subset,461,12,1,1,4,4,1,4,4
subset,471,8,1,1,3,3,1,3,3
subset,481,6,3,3,4,3,3,3,4
subset,491,7,1,1,6,4,1,4,4
subset,501,13,6,4,10,8,6,9,10
subset,511,14,4,4,8,7,4,8,8
subset,521,17,4,4,8,6,4,8,8
subset,531,11,2,2,4,2,2,2,3
subset,541,11,2,2,3,2,2,2,3
subset,551,26,0,0,10,8,0,8,8
subset,561,14,3,3,9,5,3,5,5
subset,571,13,0,0,5,3,0,3,3
subset,581,12,1,1,5,3,1,5,3
subset,591,12,1,1,2,1,1,1,1
subset,601,14,2,2,6,4,2,5,4
subset,611,17,2,2,6,5,2,5,5
subset,621,22,2,2,4,2,2,2,2
subset,631,14,2,2,5,4,2,5,5
subset,641,9,4,3,3,2,3,2,3
subset,651,13,2,2,3,1,2,1,2
subset,661,14,2,2,7,6,2,6,7
subset,671,17,2,2,8,5,2,5,7
subset,681,27,1,1,12,8,1,9,8
subset,691,21,1,1,8,5,1,7,5
subset,701,20,1,1,5,3,1,4,5
subset,711,21,3,3,5,5,3,5,5
subset,721,20,2,2,4,2,2,2,2
subset,731,21,1,1,9,5,1,7,7
subset,741,17,2,2,9,4,2,5,5
subset,751,16,4,4,6,5,4,5,5
subset,761,18,1,1,7,2,1,2,3
subset,771,17,3,3,5,4,3,4,5
subset,781,15,3,3,5,3,3,4,3
subset,791,22,4,4,15,9,4,12,9
subset,801,17,5,5,3,2,5,2,3
subset,811,16,4,4,12,5,4,7,6
subset,821,19,1,1,12,8,1,9,11
subset,831,25,5,5,12,10,5,10,11
subset,841,25,2,2,4,4,2,4,6
subset,851,25,4,3,5,5,4,5,5
subset,861,16,1,1,7,3,1,4,3
subset,871,13,2,2,7,4,2,5,4
subset,881,20,2,2,11,8,2,8,9
subset,891,25,6,6,12,9,6,9,10
subset,901,23,1,1,10,6,1,7,6
subset,911,26,5,5,9,7,5,8,7
subset,921,29,2,2,10,7,2,8,9
subset,931,36,5,5,10,9,5,10,10
subset,941,29,3,3,14,10,3,13,10
subset,951,31,3,3,9,6,3,6,7
subset,961,31,0,0,10,5,0,6,6
subset,971,30,4,4,11,8,4,9,10
