source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,globalTarget,sourceX,sourceY,targetBodyXY_1,targetBodyXY_2,sourceAtReference_1,sourceAtReference_2,sourceAtSolution_1,sourceAtSolution_2,targetWorldXY_1,targetWorldXY_2,referenceDistanceM,solutionDistanceM
48,62,curb,1.55612312958285,NaN,0.000524631086834545,0.00220204752890516,0.00176307711615519,722,6.12821364215112,6.23689796271692,0.308330382899975,6.53187673043922,484468.611763775,4976636.23954294,484467.934861423,4976635.91336179,484462.793186041,4976635.919845,5.8273539128222,5.14167946970633
49,62,curb,10.6577781311392,NaN,0.000524631086834545,0.00280241333687374,0.00103591868899695,722,5.50102339992234,7.33958577980346,0.308330382899975,6.53187673043922,484467.871911405,4976637.27003141,484467.132917845,4976636.89630356,484462.793186041,4976635.919845,5.25513602849086,4.44822924992305
50,62,curb,23.7855560699765,NaN,0.000524631086834545,0.00300675874740884,0.000625666530944966,722,5.69684100785786,7.84121343091689,0.308330382899975,6.53187673043922,484468.013800844,4976637.78949481,484467.24252914,4976637.42352287,484462.793186041,4976635.919845,5.54530516282564,4.69656269569413
51,60,curb,0.101420678243429,NaN,0.00274627103144694,0.00422463119122214,0.00415717148693743,720,6.82626767460525,-2.4377969117588,0.493562827514168,-2.57586571745119,484470.219680842,4976627.68663622,484470.066739852,4976627.47578483,484463.936749374,4976626.88228192,6.33420979093488,6.15865480226172
52,68,curb,0.67920641472313,NaN,0.00097718142650001,0.00322438480634124,0.00290832800085346,728,6.93700872335439,-2.03387891076349,8.17765180139982,-2.44159243371538,484470.287259235,4976628.09997203,484470.108720724,4976627.89249929,484471.563946783,4976627.82520947,1.30591943235683,1.45678097277824
53,62,curb,4.9485705020703,NaN,0.000524631086834545,0.00277094788949401,0.00154648526846671,722,6.92618389253686,5.93116846632728,0.308330382899975,6.53187673043922,484469.437498704,4976636.01956823,484468.772581771,4976635.74468558,484462.793186041,4976635.919845,6.64506098495044,5.98196072549379
54,62,curb,3.33019872669407,NaN,0.000524631086834545,0.00297230340072728,0.00193909299634706,722,6.96463081195079,6.87860071566061,0.308330382899975,6.53187673043922,484469.37593424,4976636.96577954,484468.652830228,4976636.68530538,484462.793186041,4976635.919845,6.66532466752963,5.90942971885284
55,68,curb,0.395301420170593,NaN,0.00097718142650001,0.00427278770145232,0.00401861728243344,728,7.69150807274395,-2.43647650673719,8.17765180139982,-2.44159243371538,484471.079968672,4976627.77908913,484470.919696142,4976627.62107165,484471.563946783,4976627.82520947,0.486170646565839,0.675818864147125
56,68,curb,1.30039918731558,NaN,0.00097718142650001,0.00329256862809249,0.00272549217796978,728,7.71087426505967,-2.00912862820013,8.17765180139982,-2.44159243371538,484471.054212564,4976628.20609953,484470.867677261,4976628.04568358,484471.563946783,4976627.82520947,0.636322411470179,0.730342441956373
57,62,curb,3.36403422615003,NaN,0.000524631086834545,0.00260136695706807,0.00169112602464556,722,7.71953035193414,5.93431122668789,0.308330382899975,6.53187673043922,484470.226100597,4976636.10626042,484469.554343308,4976635.87980546,484462.793186041,4976635.919845,7.43525181231728,6.76127582337731
58,62,curb,4.41184331153243,NaN,0.000524631086834545,0.00312295185874442,0.00183068242018155,722,7.6300915163881,6.88031105224103,0.308330382899975,6.53187673043922,484470.037512712,4976637.03757647,484469.308727541,4976636.79773131,484462.793186041,4976635.919845,7.33004724217593,6.57441749638242
59,68,curb,0.172294009354425,NaN,0.00097718142650001,0.00409629193397168,0.00398639871516821,728,8.58663190940918,-2.44677400927791,8.17765180139982,-2.44159243371538,484471.971197463,4976627.86313652,484471.804052531,4976627.75987546,484471.563946783,4976627.82520947,0.409012930745458,0.248835896196617
60,65,curb,1.2691280836097,NaN,0.000918154900082931,0.00345350734002017,0.00287060156910694,725,8.50860215181632,-2.0327673373541,9.11085080705195,-2.42169874929918,484471.849992528,4976628.26662075,484471.658215843,4976628.15512453,484472.489858744,4976627.94329072,0.716917767805876,0.858197807071741
61,62,curb,2.63759674217001,NaN,0.000524631086834545,0.00174048863950081,0.00122395899729178,722,8.23497496767264,5.92047288283283,0.308330382899975,6.53187673043922,484470.740135362,4976636.14679327,484470.064903723,4976635.95193531,484462.793186041,4976635.919845,7.95018924545024,7.27178848934996
62,68,curb,0.020317943312174,NaN,0.00097718142650001,0.00398196763262799,0.00396906471552521,728,9.50287682392915,-2.44554851511124,8.17765180139982,-2.44159243371538,484472.88221606,4976627.96086758,484472.707317956,4976627.91355636,484471.563946783,4976627.82520947,1.32523092733534,1.14677932138964
63,65,curb,1.71534760197994,NaN,0.000918154900082931,0.00346158454575568,0.00271612796980702,725,9.45380811844387,-2.04335743188182,9.11085080705195,-2.42169874929918,484472.791055653,4976628.35565257,484472.592004739,4976628.301974,484472.489858744,4976627.94329072,0.510648480004323,0.372944365063801
64,65,curb,0.0427171907654147,NaN,0.000918154900082931,0.00348325929290217,0.00345961369638329,725,10.4935849025086,-2.51476154265691,9.11085080705195,-2.42169874929918,484473.87470319,4976627.99639554,484473.695729963,4976628.01017231,484472.489858744,4976627.94329072,1.38586228111818,1.20772453188065
65,71,curb,1.93995467853672,NaN,0.00172314115876086,0.00308891817838214,0.00235724608653606,731,10.4435765089941,-2.02273767991953,14.0402000440997,-2.35269571638159,484473.773145814,4976628.48041457,484473.564541071,4976628.48701379,484477.384516737,4976628.53114143,3.61172717116721,3.82023053417196
66,73,curb,10.4947931555049,NaN,0.000278212384882922,0.00144881834971728,0.000540771964254217,733,10.8140741019744,6.21804053230313,15.1566901747648,6.95688069200084,484473.273542317,4976636.71437415,484472.558523196,4976636.67454224,484477.514174148,4976637.9065322,4.40501976574109,5.10649347675607
67,73,curb,0.583073103271655,NaN,0.000278212384882922,0.00259334994931641,0.00237205675078568,733,10.8604608368236,6.80502759642649,15.1566901747648,6.95688069200084,484473.257840885,4976637.30298183,484472.506582513,4976637.26106394,484477.514174148,4976637.9065322,4.29891217475365,5.04902002937501
68,71,curb,0.45481199255883,NaN,0.00172314115876086,0.00363723339710171,0.00339050651339889,731,11.3795279724701,-2.62990141505313,14.0402000440997,-2.35269571638159,484474.767845829,4976627.97521676,484474.588480436,4976628.04406783,484477.384516737,4976628.53114143,2.67507361995464,2.83814370297105
69,71,curb,2.64202028337559,NaN,0.00172314115876086,0.0025951923344952,0.00182410201210625,731,11.5866561777616,-2.03834295386763,14.0402000440997,-2.35269571638159,484474.911510108,4976628.58530207,484474.694279217,4976628.66184621,484477.384516737,4976628.53114143,2.47359963682646,2.69341078460442
70,73,curb,3.00290451529068,NaN,0.000278212384882922,0.00160213241919766,0.00108218209789565,733,11.3864671782445,6.52407469113601,15.1566901747648,6.95688069200084,484473.810515053,4976637.07899864,484473.072007972,4976637.07156128,484477.514174148,4976637.9065322,3.79498385749019,4.51995760615957
71,73,curb,0.259327255452648,NaN,0.000278212384882922,0.00303792688615517,0.00291689790562689,733,11.4310620932057,6.82282682550798,15.1566901747648,6.95688069200084,484473.82339291,4976637.38078616,484473.066265683,4976637.37356885,484477.514174148,4976637.9065322,3.72803903426879,4.47972539787041
72,71,curb,0.356987133481181,NaN,0.00172314115876086,0.0040157418562582,0.00379876426191699,731,12.2174892683825,-2.70830988418314,14.0402000440997,-2.35269571638159,484475.609404533,4976627.9855109,484475.427805684,4976628.10619794,484477.384516737,4976628.53114143,1.85707727570564,2.00232242876138
73,71,curb,2.98922956562303,NaN,0.00172314115876086,0.00226554222286723,0.00153255623668069,731,12.1699954649208,-2.03918565963987,14.0402000440997,-2.35269571638159,484475.491692943,4976628.64590992,484475.269625015,4976628.75808886,484477.384516737,4976628.53114143,1.89630000885131,2.12703364644183
74,73,curb,1.77669852560837,NaN,0.000278212384882922,0.00126699776702416,0.000986549578090806,733,11.9678575287436,6.58607460546227,15.1566901747648,6.95688069200084,484474.382140284,4976637.20189422,484473.634974356,4976637.22944599,484477.514174148,4976637.9065322,3.21031942308616,3.93784671663182
75,68,curb,9.28831550429668,NaN,0.00097718142650001,0.00170145927931723,0.000684380523280799,728,12.9368536975957,-3.2865989020419,8.17765180139982,-2.44159243371538,484476.385680916,4976627.48621305,484476.233372924,4976627.6556818,484471.563946783,4976627.82520947,4.83363616967503,4.67250255380894
76,71,curb,0.181612354490867,NaN,0.00172314115876086,0.00363335236608548,0.00353075574776799,731,13.1945566587434,-2.69980093415247,14.0402000440997,-2.35269571638159,484476.580140039,4976628.09689162,484476.389833472,4976628.27718222,484477.384516737,4976628.53114143,0.914108728547773,1.02659148466542
77,71,curb,3.43658786386862,NaN,0.00172314115876086,0.0027267585300273,0.00175936470635226,731,13.2028976979931,-2.06261203307352,14.0402000440997,-2.35269571638159,484476.52131657,4976628.73141433,484476.292023482,4976628.90687459,484477.384516737,4976628.53114143,0.886128524597494,1.15529949320443
78,73,curb,5.9186352999865,NaN,0.000278212384882922,0.00088600076156383,0.000455063745708615,733,13.1528454311475,6.23476563120074,15.1566901747648,6.95688069200084,484475.59754092,4976636.97735999,484474.861900909,4976637.08022951,484477.514174148,4976637.9065322,2.12998683507341,2.77800818163218
79,71,curb,10.3438443702585,NaN,0.00172314115876086,0.00174986189728222,0.000659077945651691,731,13.7365972953217,-3.29719941481495,14.0402000440997,-2.35269571638159,484477.182092002,4976627.55991226,484477.023729422,4976627.77831458,484477.384516737,4976628.53114143,0.992099725687967,0.834814795298278
80,71,curb,0.0411301187361841,NaN,0.00172314115876086,0.00308880537251834,0.00306861139634445,731,13.9765713774144,-2.66754835413256,14.0402000440997,-2.35269571638159,484477.354406957,4976628.21133806,484477.1555771,4976628.43912031,484477.384516737,4976628.53114143,0.321217668891468,0.246741247591058
81,71,curb,5.3032236662542,NaN,0.00172314115876086,0.00200997241355873,0.00108734392647789,731,14.1283748788996,-2.00879280236653,14.0402000440997,-2.35269571638159,484477.435976127,4976628.88241902,484477.19564031,4976629.11395223,484477.384516737,4976628.53114143,0.355026782002898,0.612652214674444
82,71,curb,0.0263593096110422,NaN,0.00172314115876086,0.00317694452923825,0.00316360207060383,731,14.8436863433079,-2.70665627441394,14.0402000440997,-2.35269571638159,484478.220817433,4976628.26378501,484478.017109505,4976628.54485445,484477.384516737,4976628.53114143,0.877996759469801,0.632741382514988
83,71,curb,5.26774888897263,NaN,0.00172314115876086,0.00208737190877263,0.00113269307705775,731,14.9331727200499,-2.04720045067667,14.0402000440997,-2.35269571638159,484478.240342396,4976628.92899818,484477.995607969,4976629.21000668,484477.384516737,4976628.53114143,0.943783639079083,0.913395051702276
84,73,curb,22.4037918619955,NaN,0.000278212384882922,0.000851570692752894,0.000185745637273396,733,15.1794456931994,5.53393637369305,15.1566901747648,6.95688069200084,484477.686688494,4976636.49390091,484476.976868634,4976636.72641913,484477.514174148,4976637.9065322,1.423126257743,1.29667423684331
85,73,curb,11.7775705552583,NaN,0.000278212384882922,0.000829373858739585,0.000287536615165845,733,14.4915321568427,5.89596868147142,15.1566901747648,6.95688069200084,484476.964467374,4976636.781458,484476.238301076,4976636.96892765,484477.514174148,4976637.9065322,1.25218588180361,1.58333646928515
