source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,weight,robustWeight,stepX,stepY,stepYawDeg
23,71,curb,0.500069514580709,NaN,0.00172314115876086,0.00272229306082387,0.00252061576453351,-0.00042631958622808,-0.00108322924422298,0.00869703435589604
24,71,curb,0.965905703679538,NaN,0.00172314115876086,0.00120297380595641,0.00104194630528413,0.000322150444384218,0.00084748292870251,-0.00661965965363107
25,71,curb,0.414529615149847,NaN,0.00172314115876086,0.00259511420134565,0.00243369970500846,-0.000472876062901002,-0.00138504964167912,0.00994936398543537
26,71,curb,2.49694979850077,NaN,0.00172314115876086,0.00182889867838882,0.00130681174618029,0.000672830073083435,0.00199389512691632,-0.0141946366419314
27,71,curb,0.181548400972561,NaN,0.00172314115876086,0.00196132140935115,0.00190595763946844,-0.000340090755454845,-0.00108895080553268,0.00730858529898638
28,71,curb,4.97554462139371,NaN,0.00172314115876086,0.00116991258812475,0.000651367387720726,0.000672080575177099,0.00215458119947857,-0.0144473972709729
29,71,curb,0.021558864040364,NaN,0.00172314115876086,0.000480984103949224,0.000479330691914447,3.45026583763316e-05,0.000112990823130314,-0.000745612491886573
30,71,curb,0.130419811706355,NaN,0.00172314115876086,0.00148760665265255,0.00145719903289435,-0.000288627635045635,-0.000999226510769299,0.00632637937097521
31,71,curb,1.9613464768789,NaN,0.00172314115876086,0.00183903811754061,0.00139976899854281,0.000871006444939237,0.00298376717484256,-0.019039261121727
32,76,curb,4.45722311061236,NaN,0.00272072512547887,0.000819796168639209,0.000478529867274057,0.0006677447234162,0.00238383221920226,-0.0146840799287948
33,76,curb,0.927603189393315,NaN,0.00272072512547887,0.00115960954209216,0.00100974649152882,-0.000661960768056977,-0.00238174391850137,0.0145897842534985
36,147,pole,3.96300750525277,NaN,0.000372624613405367,0.0561544747729366,0.0343645559009278,-0.0216890981176406,0.0126738179290777,0.027173523795148
37,172,trafficSign,0.134281486526518,NaN,0.000234215350395996,0.110973135790945,0.108639022285773,0.0196196928842904,0.000593686472715329,-0.0116704691916393
38,60,curb,60.7164910254972,NaN,0.00274627103144694,0.00328372163727829,0.00030647059325798,0.00119037214050373,0.00654384488514089,-0.0300879669600584
39,60,curb,14.8338861554771,NaN,0.00274627103144694,0.00438157499595758,0.00129885181141622,0.00148073027780345,0.0083995081404807,-0.0378553013122629
40,60,curb,7.30515455315395,NaN,0.00274627103144694,0.00484765231068166,0.00223515171464503,0.00254847247103901,0.0146904379043888,-0.0655388031999741
41,62,curb,17.3345074953243,NaN,0.000524631086834545,0.00272053806054918,0.000720954757346675,-0.00149486537931925,-0.00791682022777577,0.036044575342443
42,60,curb,16.9729047646303,NaN,0.00274627103144694,0.00505908888855908,0.00136155687128563,0.00192804682009422,0.0112652675060253,-0.0498329351155822
43,60,curb,1.47997868153084,NaN,0.00274627103144694,0.00475212417150923,0.00384228434457347,0.00142466179802948,0.00845434609127203,-0.037037275449649
44,62,curb,18.7748391561265,NaN,0.000524631086834545,0.00342238382550473,0.000854746708898145,-0.0016696780015806,-0.00899011307163882,0.040361703513691
45,62,curb,32.3256510509921,NaN,0.000524631086834545,0.00338594911488072,0.000548589107155464,-0.00143090184471356,-0.00767220408704765,0.0345673754904738
46,60,curb,0.174212545423676,NaN,0.00274627103144694,0.00463126653566941,0.00450567530935028,0.000408918259824299,0.00253119775311621,-0.0108033043379956
47,68,curb,1.81534385504164,NaN,0.00097718142650001,0.00326004818547086,0.00252627805154969,-0.000861027980544221,-0.00538295359175933,0.0227545754479645
48,62,curb,0.0971187957703997,NaN,0.000524631086834545,0.00220204752890516,0.00216835346847904,0.000234464504324279,0.00132185375380138,-0.00570888528578054
49,62,curb,19.3025206975992,NaN,0.000524631086834545,0.00280241333687374,0.000685454228283104,-0.00123342715519268,-0.00676328263855729,0.0299005015619693
50,62,curb,34.455606465834,NaN,0.000524631086834545,0.00300675874740884,0.000461662257435677,-0.000947212998685658,-0.00522506698874751,0.0229837248026053
51,68,curb,0.0593082935562952,NaN,0.00097718142650001,0.00422463119122214,0.00418491912530328,0.000252673736186634,0.00168958183851765,-0.00685320386222706
52,68,curb,1.77861310955251,NaN,0.00097718142650001,0.00322438480634124,0.00251007300571692,-0.000651790982182789,-0.00440960562306563,0.0177602161003082
53,62,curb,2.11214562895097,NaN,0.000524631086834545,0.00277094788949401,0.00207105031146296,0.000888066809446985,0.00522977748626112,-0.0217774746653208
54,62,curb,6.27256041088124,NaN,0.000524631086834545,0.00297230340072728,0.00148347427722556,-0.00100549059817847,-0.00591381279265831,0.0246518162218451
55,68,curb,0.0346351794810714,NaN,0.00097718142650001,0.00427278770145232,0.00424923999109238,0.000142106467762816,0.00107225480333385,-0.00404939030106643
56,68,curb,2.29286854109203,NaN,0.00097718142650001,0.00329256862809249,0.0024088576134109,-0.000547172582282205,-0.0041391429304531,0.0156087081622145
57,62,curb,1.50289814354322,NaN,0.000524631086834545,0.00260136695706807,0.00209709236219179,0.00060710339045302,0.00379921315570977,-0.0150425257487254
58,62,curb,7.2977705519432,NaN,0.000524631086834545,0.00312295185874442,0.00144071299719149,-0.000883891304828069,-0.00545858078023202,0.0218503311867648
59,68,curb,0.0324608171261494,NaN,0.00097718142650001,0.00409629193397168,0.00407512682252339,7.97325381397468e-05,0.000762794051744515,-0.00252970029979722
60,65,curb,1.79743236936696,NaN,0.000918154900082931,0.00345350734002017,0.00268215001809626,-0.000338439856344158,-0.00314468048712434,0.0105982179822978
61,62,curb,1.28774626240315,NaN,0.000524631086834545,0.00174048863950081,0.00144314409349884,0.000319930577562888,0.0021173131565737,-0.00800677099678551
62,68,curb,0.0144808879500096,NaN,0.00097718142650001,0.00398196763262799,0.00397276297095848,1.74650418160966e-05,0.000344234640176362,-0.000837336579958793
63,65,curb,1.81673357507556,NaN,0.000918154900082931,0.00346158454575568,0.00268199057395673,-0.000120294338904024,-0.00219093495006255,0.00548888222982436
64,65,curb,0.129539816569883,NaN,0.000918154900082931,0.00348325929290217,0.00341252993265962,-3.8204379992659e-05,0.000342554520446368,7.72125476539188e-05
