variant,population,samples,rmseMps,medianAbsMps,biasMps,estimatedMeanMps,referenceMeanMps,dynamicBranchRmseMps,meanDynamicParticipation,runtimeSeconds,designStatus
actual,all,11690,0.269555058665335,0.255599411706053,-0.178403611488338,0.0314997363190709,0.209903347807409,0.271116559076349,0.917349653366712,1.642823,Original certified design; grid certificate covers LPV branch only
no_dynamic_correction,all,11690,1.90997483658047,1.34181385498762,0.980650097495463,1.19055344530287,0.209903347807409,0.271116559076349,0.917349653366712,1.528415,Diagnostic perturbation; certificate not transferred
no_dynamic_correction,moving,10787,1.98743019366599,1.50317757824711,1.05492120893716,1.28385315453074,0.228931945593582,0.276327363338225,0.994142713252699,1.528415,Diagnostic perturbation; certificate not transferred
no_dynamic_correction,straight,6303,2.29368419673943,2.25513699432617,1.31355672067943,1.58340887117136,0.269852150491929,0.272784975898143,1,1.528415,Diagnostic perturbation; certificate not transferred
no_dynamic_correction,turning,4484,1.45151648347808,0.95954499473296,0.691366429608091,0.862778292357275,0.171411862749184,0.281231339679976,0.985909332706705,1.528415,Diagnostic perturbation; certificate not transferred
no_dynamic_correction,moving_first60,5098,0.836365335706301,0.668283604767923,-0.59126694606875,-0.315345379411092,0.275921566657658,0.308323602236178,0.987606404051955,1.528415,Diagnostic perturbation; certificate not transferred
no_dynamic_correction,moving_later,5689,2.61965392916796,2.53619650271985,2.53009561818661,2.71691944492193,0.186823826735318,0.24411782487389,1,1.528415,Diagnostic perturbation; certificate not transferred
oracle_ay,all,11690,0.272678104353369,0.25844881267664,-0.178075145805315,0.0318282020020942,0.209903347807409,0.270605494434838,0.917349653366712,1.571595,Diagnostic perturbation; certificate not transferred
oracle_ay,moving,10787,0.277943608607706,0.26625535563918,-0.200426457022515,0.0285054885710671,0.228931945593582,0.276327079142374,0.994142713252699,1.571595,Diagnostic perturbation; certificate not transferred
oracle_ay,straight,6303,0.274285352026994,0.276588835962213,-0.263371803897233,0.00648034659469568,0.269852150491929,0.274357381161015,1,1.571595,Diagnostic perturbation; certificate not transferred
oracle_ay,turning,4484,0.283005947737635,0.245664502979872,-0.11194641211811,0.0594654506310737,0.171411862749184,0.279072309337745,0.985909332706705,1.571595,Diagnostic perturbation; certificate not transferred
oracle_ay,moving_first60,5098,0.313285179315993,0.293313697393741,-0.259493225034453,0.0164283416232053,0.275921566657658,0.31033393906341,0.987606404051955,1.571595,Diagnostic perturbation; certificate not transferred
oracle_ay,moving_later,5689,0.241926355256591,0.248238494666554,-0.147495821880159,0.0393280048551592,0.186823826735318,0.241823710595346,1,1.571595,Diagnostic perturbation; certificate not transferred
oracle_rate,all,11690,0.26949108434756,0.256132865008568,-0.178432977838352,0.0314703699690569,0.209903347807409,0.271100646732607,0.917349653303476,1.562632,Diagnostic perturbation; certificate not transferred
