frame,milliseconds,legacyMilliseconds,legacyCount,candidateCount,retainedLegacy,fineCount,fineMatched,legacyFineMatched,subsetCount,subsetFineMatched,coarseCount,coarseShared,coarseMatchedNewTolerant,coarseMatchedOldTolerant
195,197.785,NaN,7,10,7,0,NaN,NaN,NaN,NaN,6,6,6,6
196,202.208,NaN,5,12,5,0,NaN,NaN,NaN,NaN,4,2,4,2
197,202.202,NaN,5,8,5,0,NaN,NaN,NaN,NaN,6,5,5,5
198,217.326,NaN,7,11,7,0,NaN,NaN,NaN,NaN,8,6,7,6
199,210.124,NaN,7,10,7,0,NaN,NaN,NaN,NaN,7,5,6,5
200,212.257,NaN,7,13,7,0,NaN,NaN,NaN,NaN,4,4,6,4
201,214.737,NaN,8,12,8,1,1,1,NaN,NaN,6,5,6,5
202,213.744,NaN,8,12,8,0,NaN,NaN,NaN,NaN,6,5,6,6
203,209.821,NaN,6,9,6,0,NaN,NaN,NaN,NaN,3,2,2,2
204,206.163,NaN,10,12,10,0,NaN,NaN,NaN,NaN,5,5,5,5
205,210.6,NaN,6,12,6,0,NaN,NaN,NaN,NaN,4,2,2,2
206,201.402,NaN,6,10,6,0,NaN,NaN,NaN,NaN,7,5,5,6
207,199.623,NaN,6,6,6,0,NaN,NaN,NaN,NaN,8,5,5,6
208,202.942,NaN,4,12,4,0,NaN,NaN,NaN,NaN,3,3,5,3
209,207.663,NaN,6,14,6,0,NaN,NaN,NaN,NaN,6,2,3,2
210,205.883,NaN,6,12,6,0,NaN,NaN,NaN,NaN,6,4,5,4
211,203.301,NaN,4,13,4,2,2,2,NaN,NaN,5,4,5,5
212,198.66,NaN,5,14,5,0,NaN,NaN,NaN,NaN,6,4,4,5
213,197.126,NaN,7,13,7,0,NaN,NaN,NaN,NaN,8,6,7,6
214,190.117,NaN,8,15,8,0,NaN,NaN,NaN,NaN,13,6,8,7
215,186.103,NaN,7,13,7,0,NaN,NaN,NaN,NaN,7,4,5,5
216,185.467,NaN,5,19,5,0,NaN,NaN,NaN,NaN,8,5,7,6
217,178.637,NaN,5,20,5,0,NaN,NaN,NaN,NaN,4,4,7,4
218,179.407,NaN,6,15,6,0,NaN,NaN,NaN,NaN,7,6,6,6
219,175.155,NaN,5,23,5,0,NaN,NaN,NaN,NaN,8,5,5,7
220,173.61,NaN,5,19,5,0,NaN,NaN,NaN,NaN,3,3,4,3
221,169.448,NaN,5,19,5,2,2,1,NaN,NaN,5,5,9,5
222,170.336,NaN,4,16,4,0,NaN,NaN,NaN,NaN,3,2,3,2
223,168.08,NaN,4,15,4,0,NaN,NaN,NaN,NaN,5,3,3,3
224,173.423,NaN,6,14,6,0,NaN,NaN,NaN,NaN,3,2,2,2
225,171.051,NaN,4,12,4,0,NaN,NaN,NaN,NaN,5,5,6,5
226,174.87,NaN,3,11,3,0,NaN,NaN,NaN,NaN,4,2,3,2
227,174.812,NaN,5,16,5,0,NaN,NaN,NaN,NaN,7,4,4,5
228,173.688,NaN,4,9,4,0,NaN,NaN,NaN,NaN,3,2,2,2
229,173.68,NaN,3,10,3,0,NaN,NaN,NaN,NaN,3,2,4,3
230,178.854,NaN,2,7,2,0,NaN,NaN,NaN,NaN,5,2,2,2
231,190.531,NaN,3,12,3,1,1,1,NaN,NaN,3,3,3,3
232,190.746,NaN,6,11,6,0,NaN,NaN,NaN,NaN,6,5,6,6
233,195.402,NaN,5,14,5,0,NaN,NaN,NaN,NaN,5,4,4,5
234,204.311,NaN,6,13,6,0,NaN,NaN,NaN,NaN,6,5,5,6
235,208.535,NaN,7,16,7,0,NaN,NaN,NaN,NaN,4,4,5,4
236,204.597,NaN,6,14,6,0,NaN,NaN,NaN,NaN,8,5,5,5
237,203.212,NaN,6,9,6,0,NaN,NaN,NaN,NaN,7,4,4,5
238,220.525,NaN,6,12,6,0,NaN,NaN,NaN,NaN,4,4,5,4
239,228.434,NaN,4,6,4,0,NaN,NaN,NaN,NaN,4,2,3,3
240,232.913,NaN,5,8,5,0,NaN,NaN,NaN,NaN,3,2,3,2
241,239.395,NaN,5,10,5,1,1,1,NaN,NaN,5,5,7,5
242,249.189,NaN,3,7,3,0,NaN,NaN,NaN,NaN,4,3,4,4
243,246.574,NaN,4,8,4,0,NaN,NaN,NaN,NaN,7,4,5,5
244,265.67,NaN,4,8,4,0,NaN,NaN,NaN,NaN,3,3,4,3
245,283.247,NaN,5,8,5,0,NaN,NaN,NaN,NaN,9,5,6,6
