frame,mechanism,class,mode,start,accepted,reason,referenceScore,optimizedScore,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM
260,equalMass,all,xy,1,1,accepted,0.383545952062573,0.42503585957502,0.150975330698455,-0.504923186580938,0.00241823761453366,0.150955962473655
260,equalMass,all,xy,2,1,accepted,0.383545952062573,0.425035859575527,0.150978567424299,-0.504945199225422,0.00241863196478573,0.150959193297105
260,equalMass,all,xy,3,1,accepted,0.383545952062573,0.425035859575915,0.150977807644282,-0.504939310054039,0.00242167911959073,0.150958384567786
260,equalMass,all,xyz,1,1,accepted,0.21732879107677,0.247480128331965,0.306080542979346,-1.20367311150521,0.170929866880529,0.253906044431274
260,equalMass,all,xyz,2,1,accepted,0.21732879107677,0.247480128331958,0.306080543468648,-1.20367314080451,0.170929861225391,0.253906048828167
260,equalMass,all,xyz,3,1,accepted,0.21732879107677,0.247480128331965,0.306080542979346,-1.20367311166721,0.170929866880529,0.253906044431274
260,equalPeakXY,all,xy,1,1,accepted,0.388899556358094,0.429994247481149,0.151601086755931,-0.51199337287421,0.00656696653014038,0.151458787979342
260,equalPeakXY,all,xy,2,1,accepted,0.388899556358094,0.429994247481048,0.151601260987281,-0.511992761757714,0.00656617565407101,0.151458996663168
260,equalPeakXY,all,xy,3,1,accepted,0.388899556358094,0.42999424748167,0.151603434680823,-0.512006264201145,0.00656919141591409,0.151461041628412
260,equalPeakXY,all,xyz,1,1,accepted,0.220649807667311,0.250717600328884,0.309817297617276,-1.20326018648835,0.178369896612611,0.253319833185793
260,equalPeakXY,all,xyz,2,1,accepted,0.220649807667311,0.250717600329226,0.309816755753247,-1.20325575522571,0.178370056750283,0.253319057712538
260,equalPeakXY,all,xyz,3,1,accepted,0.220649807667311,0.250717600328894,0.30981729858147,-1.20326013888441,0.178369909152258,0.253319825535498
260,emMass,all,xy,1,1,accepted,0.453220001453194,0.489231783142774,0.15946126074859,-0.602616270620206,0.0225905305350528,0.157852974662103
260,emMass,all,xy,2,1,accepted,0.453220001453194,0.489231783144782,0.159463840473257,-0.602631035319014,0.0225921827574083,0.157855344213417
260,emMass,all,xy,3,1,accepted,0.453220001453194,0.489231783132054,0.15946930583454,-0.602657472807695,0.0225994753054211,0.157859821421633
260,emMass,all,xyz,1,1,accepted,0.263675311559888,0.292137209049697,0.352065125191496,-1.21268010380169,0.251656468553275,0.24620900513872
260,emMass,all,xyz,2,1,accepted,0.263675311559888,0.29213720904963,0.352065073008115,-1.21268032152484,0.251656363406251,0.24620903799282
260,emMass,all,xyz,3,1,accepted,0.263675311559888,0.292137209049721,0.352065144839127,-1.21268002425459,0.251656507812475,0.246208993105909
260,wideSearch,all,xy,1,1,accepted,0.40197148435065,0.446381928258773,0.182359687988688,-0.671481349993161,0.0385235389161947,0.178244194162682
260,wideSearch,all,xy,2,1,accepted,0.40197148435065,0.446381928268844,0.182354466784321,-0.671450083216725,0.0385218822186487,0.178239210463149
260,wideSearch,all,xy,3,1,accepted,0.40197148435065,0.446381928264937,0.182356179677496,-0.671453352090244,0.0385269204782305,0.178239873948102
260,wideSearch,all,xyz,1,1,accepted,0.232985396222752,0.266487542619264,0.356311546614109,-1.31822188687622,0.230324886534349,0.271860929325046
260,wideSearch,all,xyz,2,1,accepted,0.232985396222752,0.266487542619264,0.356311546562194,-1.31822188680265,0.230324886520877,0.271860929268419
260,wideSearch,all,xyz,3,1,accepted,0.232985396222752,0.266487542619264,0.356311546614109,-1.31822188682661,0.230324886534349,0.271860929325046
260,wideSearch,curb,xy,1,1,accepted,0.491827968291115,0.676077387441851,4.9276686012897,0.474366380203998,4.92763277130419,0.0187913625210683
260,wideSearch,curb,xy,2,1,accepted,0.491827968291115,0.676077387442614,4.9276809375535,0.474365280960103,4.92764510676103,0.0187915976489783
260,wideSearch,curb,xy,3,1,accepted,0.491827968291115,0.676077387442723,4.9276779829677,0.474364567925645,4.9276421518115,0.0187916873941976
260,wideSearch,curb,xyz,1,1,accepted,0.23985146173939,0.561449315340233,3.96950710226553,0.00126944506776932,3.96792742503069,0.111975821612547
260,wideSearch,curb,xyz,2,1,accepted,0.23985146173939,0.561449315341566,3.96949909863195,0.00127490193315936,3.96791946052098,0.111974322318793
260,wideSearch,curb,xyz,3,1,accepted,0.23985146173939,0.561449315341964,3.96950056524107,0.00127336698201259,3.9679209107,0.111974925223563
260,wideSearch,roadMarking,xy,1,1,accepted,0.345135316288331,0.745137127597721,5.46697717648993,0.36821172394076,5.46692731586046,0.0233489049116549
260,wideSearch,roadMarking,xy,2,1,accepted,0.345135316288331,0.745137127605182,5.46696424976354,0.368201679510115,5.46691438353247,0.023350188830306
260,wideSearch,roadMarking,xy,3,1,accepted,0.345135316288331,0.745137127605252,5.46696309727761,0.368200102053323,5.46691323002101,0.0233504264711435
