frame,geometry,mode,class,longitudinalOffsetM,yawOffsetDeg,score
260,original,xyz,all,6.1,0,0.252630112778765
260,original,xyz,all,6.2,0,0.245539888254224
260,original,xyz,all,6.3,0,0.238361245485654
260,original,xyz,all,6.4,0,0.231114166260401
260,original,xyz,all,6.5,0,0.223818234719235
260,original,xyz,all,6.6,0,0.216492555487234
260,original,xyz,all,6.7,0,0.209155676652963
260,original,xyz,all,6.8,0,0.201825520627617
260,original,xyz,all,6.9,0,0.194519322050119
260,original,xyz,all,7,0,0.187253570770776
260,original,xyz,all,7.1,0,0.180043963342311
260,original,xyz,all,7.2,0,0.172905361940377
260,original,xyz,all,7.3,0,0.165851758071379
260,original,xyz,all,7.4,0,0.158896245373774
260,original,xyz,all,7.5,0,0.152050998600081
260,original,xyz,all,7.6,0,0.145327257878553
260,original,xyz,all,7.7,0,0.138735320808921
260,original,xyz,all,7.8,0,0.132284540191497
260,original,xyz,all,7.9,0,0.125983326404093
260,original,xyz,all,8,0,0.11983915616667
260,original,xyz,all,8.1,0,0.1138585863935
260,original,xyz,all,8.2,0,0.108047271348175
260,original,xyz,all,8.3,0,0.102409985052214
260,original,xyz,all,8.4,0,0.096950647645554
260,original,xyz,all,8.5,0,0.091672353711189
260,original,xyz,all,8.6,0,0.0865774049669598
260,original,xyz,all,8.7,0,0.0816673451516313
260,original,xyz,all,8.8,0,0.0769429962938262
260,original,xyz,all,8.9,0,0.0724044977277928
260,original,xyz,all,9,0,0.0680513462946463
260,original,xyz,all,9.1,0,0.0638824369894989
260,original,xyz,all,9.2,0,0.0598961049914954
260,original,xyz,all,9.3,0,0.056090168139871
260,original,xyz,all,9.4,0,0.052461968827037
260,original,xyz,all,9.5,0,0.0490084163541516
260,original,xyz,all,9.6,0,0.0457260289290515
260,original,xyz,all,9.7,0,0.0426109743048864
260,original,xyz,all,9.8,0,0.0396591102866388
260,original,xyz,all,9.9,0,0.0368660239992826
260,original,xyz,all,10,0,0.034227069541128
260,original,xy,curb,-10,0,0.0866484848747745
260,original,xy,curb,-9.9,0,0.0889217946074711
260,original,xy,curb,-9.8,0,0.0912366673900303
260,original,xy,curb,-9.7,0,0.0935933781622943
260,original,xy,curb,-9.6,0,0.0959922251496334
260,original,xy,curb,-9.5,0,0.0984335300610657
260,original,xy,curb,-9.4,0,0.100917637817387
260,original,xy,curb,-9.3,0,0.103444915962997
260,original,xy,curb,-9.2,0,0.106015753541609
260,original,xy,curb,-9.1,0,0.108630559667138
260,original,xy,curb,-9,0,0.1112897615831
260,original,xy,curb,-8.9,0,0.113993802364495
260,original,xy,curb,-8.8,0,0.116743138250503
260,original,xy,curb,-8.7,0,0.119538235535234
260,original,xy,curb,-8.6,0,0.122379567197066
260,original,xy,curb,-8.5,0,0.125267609117895
260,original,xy,curb,-8.4,0,0.128202836097732
260,original,xy,curb,-8.3,0,0.131185717582423
260,original,xy,curb,-8.2,0,0.134216713124257
260,original,xy,curb,-8.1,0,0.13729626780318
260,original,xy,curb,-8,0,0.140424807328962
260,original,xy,curb,-7.9,0,0.143602733242197
260,original,xy,curb,-7.8,0,0.146830417939631
260,original,xy,curb,-7.7,0,0.150108199739154
260,original,xy,curb,-7.6,0,0.153436378046688
260,original,xy,curb,-7.5,0,0.156815208519319
260,original,xy,curb,-7.4,0,0.160244898452335
