scenario,timeSeconds,positionErrorM,yawErrorDeg
fusion,15,0.0740408808870578,0.604713904477436
fusion,15.1,0.18425938016512,0.445696019073915
fusion,15.2,0.2999055134189,0.377384574064677
fusion,15.3,0.273886489578812,0.121439806381876
fusion,15.4,0.279848320142828,0.0242770133075702
fusion,15.5,0.195352138388351,0.19144635482518
fusion,15.6,0.188958796193926,0.395549415339765
fusion,15.7,0.199336744160957,0.411647950194513
fusion,15.8,0.129846897502058,0.612181769327322
fusion,15.9,0.189437351581693,0.61283809514403
fusion,16,0.283045896234772,0.719992980243467
fusion,16.1,0.403038126410384,1.10934071432096
fusion,16.2,0.453519173533152,1.17104161190957
fusion,16.3,0.367867226008614,1.45718653707105
fusion,16.4,0.376821334508425,1.77991828457328
fusion,16.5,0.520433850750795,2.34811641037815
fusion,16.6,0.367564146086072,2.65747908187522
fusion,16.7,0.42663883166593,1.96861815437729
fusion,16.8,0.0307226567461928,2.7721448228798
fusion,16.9,0.19496676346813,3.08856194370208
fusion,17,0.164125688461832,3.06198320378636
fusion,17.1,0.326841831270716,3.05826172749174
fusion,17.2,0.422403764435158,3.08080808625994
fusion,17.3,0.640139986398216,3.03209807892638
fusion,17.4,0.647619412214828,2.86563626640507
fusion,17.5,0.263017655922787,2.87062449396169
fusion,17.6,0.191610135076873,2.88671182221
fusion,17.7,0.237721518119998,2.90329770969776
fusion,17.8,0.194061544259474,2.92042829170528
fusion,17.9,0.207099918046732,2.90284431359611
fusion,18,0.158472303393732,2.92619731041967
fusion,18.1,0.138233748198863,2.90727712317506
fusion,18.2,0.191286918546348,1.55310047999119
fusion,18.3,0.334351506386489,0.975431184267944
fusion,18.4,0.397764982648007,0.706665893950184
fusion,18.5,0.383140914657416,0.374635023161635
fusion,18.6,0.281716260699915,0.157263049512682
fusion,18.7,0.348868752943039,0.167662201245966
fusion,18.8,0.214884162602175,0.38483879761006
fusion,18.9,0.206351541987348,0.249039857102352
fusion,19,0.169632235673397,0.260339816390133
fusion,19.1,0.157327870584522,0.247353761455974
fusion,19.2,0.168133276466727,0.244930121533817
fusion,19.3,0.173110666372349,0.239860558003476
fusion,19.4,0.234386315000698,0.465843874975996
