frame,calibration,variant,start,accepted,reason,translationDifferenceM,yawDifferenceDeg,longitudinalDifferenceM,lateralDifferenceM,observableRank,matchedFraction,iterations,compatibility
900,identity,geometricHeight,1,1,accepted,0.040961964568074,-0.0195345716603028,-0.0409481752075842,0.00106277393886777,3,0.91304347826087,11,0.61953002905163
900,identity,geometricHeight,2,1,accepted,0.0437987718036301,0.0387993635110123,-0.0406794939447044,0.0162330275644815,3,0.91304347826087,9,0.635093795061918
900,identity,geometricHeight,3,1,accepted,0.0437924076521151,0.038791983517001,-0.0406764426994464,0.0162235007716486,3,0.91304347826087,6,0.635094649624075
120,identity,densityXY,1,1,accepted,2.96100246470323,-1.94884202427004,2.94228097525792,0.33244286518719,NaN,NaN,66,0.405539275738802
120,identity,densityXY,2,1,accepted,0.070417331243162,0.17356781458505,-0.0589803895008974,0.0384696528933084,NaN,NaN,51,0.428552385292611
120,identity,densityXY,3,1,accepted,0.0704174700154785,0.173564174762878,-0.0589800381778576,0.0384704455383515,NaN,NaN,45,0.428552385293573
120,identity,geometricXY,1,1,accepted,0.0764120174499874,0.0108241346221936,-0.0421193509912408,0.0637554443389256,3,1,7,0.841193227168235
120,identity,geometricXY,2,1,accepted,0.0764091816169414,0.0108414489730061,-0.0421220688820414,0.0637502497914109,3,1,7,0.841193466603188
120,identity,geometricXY,3,1,accepted,0.0764092869437751,0.0108408368693164,-0.0421219735614751,0.0637504390145084,3,1,6,0.841193458091509
120,identity,geometricHeight,1,1,accepted,0.0764120210160956,0.0108242044994507,-0.0421193633939067,0.0637554404192793,3,1,7,0.84119322797809
120,identity,geometricHeight,2,1,accepted,0.0764091583214575,0.010841590797667,-0.0421220915275362,0.0637502069074244,3,1,7,0.841193468568421
120,identity,geometricHeight,3,1,accepted,0.0764092869437751,0.0108408368693164,-0.0421219735614751,0.0637504390145084,3,1,6,0.841193458091509
350,identity,densityXY,1,1,accepted,0.157706109804695,0.0239362245838538,-0.142383292358284,0.0678101402958738,NaN,NaN,54,0.442043693007477
350,identity,densityXY,2,1,accepted,0.157705859314378,0.0239297739286582,-0.142382636803435,0.0678109342140885,NaN,NaN,57,0.442043693009785
350,identity,densityXY,3,1,accepted,0.157706109804695,0.0239362245912073,-0.142383292358284,0.0678101402958738,NaN,NaN,49,0.442043693007477
350,identity,geometricXY,1,1,accepted,0.165888433345241,0.183309400339478,-0.161739020514078,0.0368708768662359,3,1,6,0.85428607460485
350,identity,geometricXY,2,1,accepted,0.16587684618421,0.1832418240339,-0.161727091440942,0.0368710725918449,3,1,6,0.854288254874586
350,identity,geometricXY,3,1,accepted,0.165875947236531,0.183235894666732,-0.161726106537603,0.0368713484402784,3,1,5,0.854288410412893
350,identity,geometricHeight,1,1,accepted,0.165888244805182,0.183312490680067,-0.161739188718728,0.0368692907058375,3,1,6,0.854286192665365
350,identity,geometricHeight,2,1,accepted,0.165878429527734,0.183255297748718,-0.161729088488547,0.036869436112464,3,1,6,0.854288040725911
350,identity,geometricHeight,3,1,accepted,0.165875947236531,0.183235894666732,-0.161726106537603,0.0368713484402784,3,1,5,0.854288410412893
700,identity,densityXY,1,0,searchBoundary,3.44304434219715,0.875724921976745,3.4397886626402,-0.14969401694041,NaN,NaN,34,0.311834052490977
700,identity,densityXY,2,0,searchBoundary,2.62712590963524,0.427325840698647,2.62601918275216,-0.0762482583041826,NaN,NaN,36,0.289924345718041
700,identity,densityXY,3,0,searchBoundary,3.0353490074076,0.649806204034231,3.03316183772268,-0.115207911851226,NaN,NaN,53,0.301608373545454
700,identity,geometricXY,1,1,accepted,0.107765889091625,0.379811530301342,-0.0438180072509468,0.0984554167746212,3,0.882352941176471,6,0.507213757254054
700,identity,geometricXY,2,1,accepted,0.00451438767757553,-0.212294874158138,-0.0032809384941645,0.00310082871196643,3,0.882352941176471,7,0.545903359855165
700,identity,geometricXY,3,1,accepted,0.00746260452525304,-0.189761775139353,-0.00465677166964053,0.00583137581683434,3,0.882352941176471,4,0.543089586772692
700,identity,geometricHeight,1,1,accepted,0.0872883207945154,0.247962666964777,-0.0350795564434435,0.0799291915814084,3,0.882352941176471,7,0.511101812994935
700,identity,geometricHeight,2,1,accepted,0.00451438767757553,-0.212294874158138,-0.0032809384941645,0.00310082871196643,3,0.882352941176471,7,0.545903359855165
700,identity,geometricHeight,3,1,accepted,0.00746260452525304,-0.189761775139353,-0.00465677166964053,0.00583137581683434,3,0.882352941176471,4,0.543089586772692
1050,identity,densityXY,1,1,accepted,0.0704633868171023,-0.0669505252655521,-0.0601825467067961,0.0366490102679581,NaN,NaN,46,0.546005067158575
1050,identity,densityXY,2,1,accepted,0.0704633868171023,-0.0669505252099178,-0.0601825467067961,0.0366490102679581,NaN,NaN,51,0.546005067158575
1050,identity,densityXY,3,1,accepted,0.0704634037647762,-0.0669470798476733,-0.0601829717612994,0.0366483448479807,NaN,NaN,44,0.546005067158902
1050,identity,geometricXY,1,1,accepted,0.0753400164465671,-0.133123391600119,-0.0586491317384903,0.0472905637996653,3,0.965909090909091,7,0.654700589546796
