positionGain,velocityGain,accelerationGain,headingGain,positionRmseM,positionMaximumM,positionP95M,headingRmseDeg,certificateMargin,accuracyFeasible
8,1,12,0.5,0.162411728100926,0.871240157706077,0.2843227506053,0.394541119166472,1.53450554556283,0
10,1,12,0.5,0.161539973907666,0.873078091257116,0.285699867261965,0.394541119166472,1.64201779277482,0
3,4,12,0.5,0.173834301762189,0.856938019234999,0.310442094879292,0.394541119166472,1.34830760837604,0
4,4,12,0.5,0.164354037228084,0.867797686246818,0.29522484352979,0.394541119166472,1.83614987993616,0
5,4,12,0.5,0.160344038356152,0.875638892296383,0.285795267811524,0.394541119166472,2.3219370364826,0
6,4,12,0.5,0.158661914621012,0.880086994091045,0.278464965051004,0.394541119166472,2.80512110043002,0
8,4,12,0.5,0.158019547839712,0.883304992422775,0.277955472309175,0.394541119166472,3.760372517889,0
10,4,12,0.5,0.158590346045823,0.883005447934201,0.282800699208262,0.394541119166472,4.69126696390118,0
3,8,12,0.5,0.172457456185811,0.866986024219144,0.308866585376713,0.394541119166472,1.4310786850978,0
4,8,12,0.5,0.163564452507081,0.875794357843697,0.293239978914458,0.394541119166472,1.92862449961063,0
5,8,12,0.5,0.159841393990255,0.882374458372064,0.284414362762337,0.394541119166472,2.42598973332041,0
6,8,12,0.5,0.158317827241855,0.88592285174536,0.278752212916667,0.394541119166472,2.92315379080656,0
8,8,12,0.5,0.157832887883143,0.887833769910047,0.278686767682445,0.394541119166472,3.916779151044,0
10,8,12,0.5,0.158475353727314,0.886785948540085,0.282404084489487,0.394541119166472,4.90925801914629,0
3,1,4,1,0.197301236374502,0.83090022704306,0.306317547432153,0.429778512252265,0.64602694454847,0
4,1,4,1,0.178919588612971,0.84650825446476,0.29215958223154,0.429778512252265,0.90074875130661,0
5,1,4,1,0.170224676585678,0.857661010888362,0.285463207715973,0.429778512252265,1.09394614553746,0
6,1,4,1,0.165796901371322,0.864548258321662,0.280722938215782,0.429778512252265,1.23464573933885,1
8,1,4,1,0.162251476521019,0.87129383284467,0.281353963760519,0.429778512252265,1.4097554749903,0
10,1,4,1,0.161407439371882,0.873042885152111,0.284732335390758,0.429778512252265,1.50652828708265,0
3,4,4,1,0.172884838401348,0.856274280374477,0.299845652178004,0.429778512252265,1.34502797055511,0
4,4,4,1,0.163661186344896,0.867495793297643,0.287297743814618,0.429778512252265,1.83193034067646,0
5,4,4,1,0.159812201851146,0.875335898882001,0.279753985174692,0.429778512252265,2.31640734491138,0
6,4,4,1,0.158236820231859,0.879733226914347,0.273973027422691,0.429778512252265,2.79771928221003,0
8,4,4,1,0.157722748861036,0.88300717492625,0.275490684217067,0.429778512252265,3.74604090446557,0
10,4,4,1,0.158365413211792,0.882606441282202,0.28091345080093,0.429778512252265,4.65958499162002,0
3,8,4,1,0.171327637117245,0.865205212275753,0.298225687422696,0.429778512252265,1.4303853520595,0
4,8,4,1,0.162745941144,0.874456003166656,0.28600040202681,0.429778512252265,1.92780095611331,0
5,8,4,1,0.159214411094502,0.881157966135058,0.279115476242215,0.429778512252265,2.42500169684221,0
6,8,4,1,0.157816844484685,0.884767304027498,0.273644092137504,0.429778512252265,2.92195463987618,0
8,8,4,1,0.157482887589771,0.886874346642084,0.275033247663132,0.429778512252265,3.91493466813953,0
10,8,4,1,0.158209958346075,0.885856472951378,0.280498932363193,0.429778512252265,4.90618157090467,0
3,1,12,1,0.196683910600372,0.830357141968092,0.311193434258471,0.429778512252265,0.696971154387085,0
4,1,12,1,0.178463937328018,0.845530077801996,0.295571556910412,0.429778512252265,0.97035882302811,0
5,1,12,1,0.169865391257743,0.856658585813704,0.289053073760783,0.429778512252265,1.18219239972191,0
6,1,12,1,0.165501848625584,0.863636196814826,0.282233447513112,0.429778512252265,1.33868754104585,1
8,1,12,1,0.162036520264607,0.870479670206467,0.283153638632897,0.429778512252265,1.53450554556283,0
10,1,12,1,0.161240046995469,0.872463002463401,0.284706827700831,0.429778512252265,1.64201779277482,0
3,4,12,1,0.17261673028324,0.854515216965005,0.301163381074553,0.429778512252265,1.34830760837604,0
4,4,12,1,0.163454582947173,0.865919383325677,0.288525071084252,0.429778512252265,1.83614987993616,0
5,4,12,1,0.159641924927435,0.874112895827974,0.280825402083602,0.429778512252265,2.3219370364826,0
