source,target,semanticName,squaredStandardizedResidual,heightResidual,mapMixtureWeight,temporalStability,weight,robustWeight,globalTarget,sourceXY_1,sourceXY_2,targetBodyXY_1,targetBodyXY_2,referenceDistanceM,detections,frameMask_1,frameMask_2,frameMask_3,frameMask_4,frameMask_5
19,67,curb,2.34550760865906,NaN,0.00097718142650001,0.8,0.00682145669318439,0.00496004497622143,728,8.77491457987156,-2.46754423113224,8.17765180139982,-2.44159243371538,0.597826331250931,4,1,1,0,1,1
20,67,curb,0.0142646696838859,NaN,0.00097718142650001,0.6,0.00402452192892876,0.00401535748920935,728,8.67874007672719,-2.08100896848825,8.17765180139982,-2.44159243371538,0.6173409876768,3,1,0,0,1,1
21,67,curb,2.23054112898851,NaN,0.00097718142650001,1,0.00848330577296787,0.00625203749084028,728,9.60671920009141,-2.5034659836747,8.17765180139982,-2.44159243371538,1.43040622418519,5,1,1,1,1,1
22,67,curb,0.0217410755459823,NaN,0.00097718142650001,0.8,0.00533304562921233,0.00531455855416917,728,9.27411298107961,-2.0741053319473,8.17765180139982,-2.44159243371538,1.15640558996863,4,1,1,1,1,0
23,67,curb,2.13290590105395,NaN,0.00097718142650001,1,0.00778663668092679,0.00580544262696231,728,10.7458911849749,-2.60858816621747,8.17765180139982,-2.44159243371538,2.57366297444322,5,1,1,1,1,1
24,70,curb,0.00106227421713041,NaN,0.00172314115876086,1,0.00632787872314294,0.00632680339512319,731,10.1185560216832,-2.02141534207281,14.0402000440997,-2.35269571638159,3.93561158207424,5,1,1,1,1,1
25,67,curb,27.522601158931,NaN,0.00097718142650001,0.4,0.000737504111225976,0.000136483437371936,728,11.1276624302086,-3.25562283955665,8.17765180139982,-2.44159243371538,3.06026276841037,2,1,1,0,0,0
26,70,curb,3.86073148197716,NaN,0.00172314115876086,1,0.00783865604942405,0.00484550503553873,731,11.652633519677,-2.67868143064675,14.0402000440997,-2.35269571638159,2.40971794914852,5,1,1,1,1,1
27,70,curb,0.0328557813975514,NaN,0.00172314115876086,1,0.00545062170165929,0.00542211803368705,731,11.6910363190051,-2.07972712038038,14.0402000440997,-2.35269571638159,2.36496978029385,5,1,1,1,1,1
28,70,curb,3.79870105456472,NaN,0.00172314115876086,1,0.00796298982403885,0.00495274823382619,731,12.5052949165871,-2.68564017443662,14.0402000440997,-2.35269571638159,1.5706004465216,5,1,1,1,1,1
29,70,curb,4.12641236394774,NaN,0.00172314115876086,0.8,0.00548732820146829,0.00330516946091461,731,13.3880631536503,-2.70158550639897,14.0402000440997,-2.35269571638159,0.739598951772753,4,1,1,0,1,1
30,70,curb,0.125164806710773,NaN,0.00172314115876086,1,0.00456315499373846,0.00447356571564147,731,12.8590948448038,-2.11155738554521,14.0402000440997,-2.35269571638159,1.20546969534797,5,1,1,1,1,1
31,70,curb,3.48114157710308,NaN,0.00172314115876086,0.6,0.00370535347453156,0.00237982964612425,731,13.8560384989383,-2.65158079360261,14.0402000440997,-2.35269571638159,0.351066609209175,3,1,0,1,1,0
32,70,curb,4.24103489547501,NaN,0.00172314115876086,0.6,0.00281432674321102,0.00167662602596581,731,14.5440146188013,-2.89057856683958,14.0402000440997,-2.35269571638159,0.736985133159799,3,1,1,0,0,1
