mode,population,method,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost5cm,fractionAtMost10cm,headingRmseDeg
per_frame_negative,uniform_after60,previous_observer,5689,0.165099776854119,0.118448509762066,0.320713264625641,0.478903057496067,0.119177359817191,0.388117419581649,0.534926316854133
per_frame_negative,native_full,steering_only,1069,0.158250209392259,0.111095517157777,0.308573665261343,0.732447334537275,0.114125350795136,0.439663236669785,0.4782113074724
per_frame_negative,native_all,steering_only,1170,0.164386015894138,0.114121627539814,0.320717039335057,0.732447334537275,0.111965811965812,0.423076923076923,0.512632025195288
per_frame_negative,uniform_all,steering_only,11690,0.164897812408239,0.114971156662691,0.321247650463297,0.732475882435429,0.113344739093242,0.413344739093242,0.513975560574284
per_frame_negative,uniform_first60,steering_only,6001,0.164188842197555,0.109733935182973,0.32109530564431,0.732475882435429,0.108315280786536,0.441259790034994,0.493293131724312
per_frame_negative,uniform_after60,steering_only,5689,0.165642375803348,0.119169385605634,0.321288006234147,0.47918543066269,0.118650026366673,0.3838987519775,0.534926316854133
per_frame_negative,native_full,lidar_bias_legacy_steering,1069,0.141952486931584,0.0814035453082875,0.296491617548646,0.73200885247349,0.267539756782039,0.60710944808232,0.4782113074724
per_frame_negative,native_all,lidar_bias_legacy_steering,1170,0.148822151939525,0.0847856447120264,0.302633574268649,0.73200885247349,0.251282051282051,0.584615384615385,0.512632025195288
per_frame_negative,uniform_all,lidar_bias_legacy_steering,11690,0.149412466968055,0.0856435362436598,0.304452274053597,0.732037365206365,0.251154833190761,0.574764756201882,0.513975560574284
per_frame_negative,uniform_first60,lidar_bias_legacy_steering,6001,0.151375032250809,0.0766217406930004,0.319818292123035,0.732037365206365,0.297283786035661,0.609065155807365,0.493293131724312
per_frame_negative,uniform_after60,lidar_bias_legacy_steering,5689,0.147313935934063,0.0940607153714692,0.29550403915518,0.475130550100204,0.202496044999121,0.538583230796273,0.534926316854133
per_frame_negative,native_full,steering_and_lidar_bias,1069,0.142099850723739,0.0813814423081556,0.296447770039256,0.732447334537275,0.268475210477081,0.608044901777362,0.4782113074724
per_frame_negative,native_all,steering_and_lidar_bias,1170,0.148966162892179,0.0847222260864438,0.303725271012071,0.732447334537275,0.252136752136752,0.585470085470085,0.512632025195288
per_frame_negative,uniform_all,steering_and_lidar_bias,11690,0.149556234987253,0.0856587766323617,0.305246401356549,0.732475882435429,0.251240376390077,0.574337040205304,0.513975560574284
per_frame_negative,uniform_first60,steering_and_lidar_bias,6001,0.151642273000666,0.0766286091407909,0.320925785546361,0.732475882435429,0.297450424929178,0.608398600233294,0.493293131724312
per_frame_negative,uniform_after60,steering_and_lidar_bias,5689,0.147323784904064,0.0940720550669474,0.295568756114822,0.475140270036646,0.202496044999121,0.538407452979434,0.534926316854133
