poseMode,source,target,semanticName,sourceForwardM,sourceLeftM,targetForwardM,targetLeftM,pullForwardM,pullLeftM,weight,robustWeight,squaredStandardizedResidual
estimate,2,256,curb,2.62303793104817,6.32537210001851,2.91021774246657,6.13592604891992,0.287179811418405,-0.189446051098589,0.0153845868545255,0.0142193491415416,0.512170819751009
estimate,3,256,curb,3.61020060621889,6.27278077589437,2.91021774246657,6.13592604891992,-0.699982863752322,-0.136854726974447,0.0153845868545255,0.0143074921019325,0.470511684070532
estimate,4,152,curb,4.75425196173306,-3.03788214437781,3.65991677999831,-3.11250039921904,-1.09433518173475,-0.0746182548412238,0.00512819645354506,0.00495831307807589,0.214139583354904
estimate,5,252,curb,4.48264572809719,6.23243335881297,6.87217719574446,6.06711216699394,2.38953146764728,-0.165321191819023,0.0128204930208161,0.0127258801247369,0.0464667743762337
estimate,6,152,curb,5.3563543941361,-3.03622487898195,3.65991677999831,-3.11250039921904,-1.69643761413779,-0.0762755202370853,0.0153845893606352,0.0145973051893763,0.337084551328649
estimate,7,252,curb,5.32840456701329,6.19770639967006,6.87217719574446,6.06711216699394,1.54377262873117,-0.13059423267612,0.0153845916249793,0.015219848039221,0.067651622298464
estimate,8,153,curb,6.24712711775748,-3.07418072544446,9.3268105747185,-3.17940827246276,3.07968345696103,-0.105227547018294,0.0153845957209759,0.0153582213421046,0.0107330050969915
estimate,9,252,curb,6.20553795033687,6.15141688648604,6.87217719574446,6.06711216699394,0.666639245407596,-0.0843047194920912,0.0153845916249793,0.0152215377911649,0.0669502960424625
estimate,10,153,curb,7.18696629051565,-3.10598129261787,9.3268105747185,-3.17940827246276,2.13984428420286,-0.073426979844887,0.0153845957209759,0.0153808825174383,0.00150885504025187
estimate,11,252,curb,7.12679988076174,6.13903402781377,6.87217719574446,6.06711216699394,-0.254622685017275,-0.0719218608198213,0.0153845916249793,0.0149547615534482,0.179637631631121
estimate,12,153,curb,8.06097783059604,-3.13770308863894,9.3268105747185,-3.17940827246276,1.26583274412246,-0.0417051838238214,0.0153845957209759,0.0153842665199512,0.000133740949036056
estimate,13,202,curb,8.03775575024999,6.07206110537927,9.93426540584197,6.03417028463128,1.89650965559198,-0.0378908207479958,0.0153845864790402,0.0153107467141888,0.030142130814121
estimate,14,153,curb,8.88095239089859,-3.1756636933341,9.3268105747185,-3.17940827246276,0.445858183819915,-0.00374457912866166,0.0128204964341466,0.0128195680762037,0.000452607849846139
estimate,15,202,curb,8.90526687563595,6.04584996656618,9.93426540584197,6.03417028463128,1.02899853020602,-0.0116796819349005,0.0153845864790402,0.0153690743957662,0.00630815610398208
estimate,16,199,curb,9.88724833951435,-3.22929122594388,10.7887130084676,-3.23991835193811,0.901464668953242,-0.0106271259942288,0.0102564080536008,0.0102563018622513,6.47110375465084e-05
estimate,17,202,curb,9.83769014276686,5.99801227348928,9.93426540584197,6.03417028463128,0.0965752630751133,0.0361580111419935,0.0153845864790402,0.0153729553767743,0.00472871919417837
estimate,18,199,curb,10.4469421042536,-3.25393500798516,10.7887130084676,-3.23991835193811,0.341770904213996,0.0140166560470441,0.00512820402680042,0.00512818586662699,2.21327944987128e-05
estimate,19,199,curb,10.7912933616646,-3.1755577317477,10.7887130084676,-3.23991835193811,-0.00258035319696504,-0.0643606201904126,0.00256410201340021,0.00248600147624571,0.196350791373148
estimate,20,250,curb,10.6755691708227,5.96157140926813,11.2738849155749,5.99607280631228,0.598315744752121,0.034501397044159,0.0128205000761562,0.0127768391909794,0.0213574365518752
estimate,21,199,curb,11.568292963108,-3.29345277792419,10.7887130084676,-3.23991835193811,-0.779579954640386,0.0535344259860802,0.0102564080536008,0.0102470597420165,0.0057018255844282
estimate,22,250,curb,11.522563831049,5.92475758310669,11.2738849155749,5.99607280631228,-0.248678915474136,0.0713152232055965,0.0128205000761562,0.0127975765235002,0.0111952605899187
estimate,23,149,curb,12.683094916084,-3.3548319014032,13.9556740736153,-3.30084362814868,1.27257915753127,0.0539882732545141,0.00769228178109209,0.00756673215148557,0.103701990414279
estimate,24,250,curb,12.4433972224628,5.88897077694706,11.2738849155749,5.99607280631228,-1.16951230688799,0.10710202936522,0.00769230004569371,0.00769021954621419,0.00169086482757345
estimate,25,149,curb,13.5571829517931,-3.39152560511827,13.9556740736153,-3.30084362814868,0.398491121822206,0.0906819769695861,0.00769228178109209,0.00761279778998064,0.0652552396834132
estimate,26,250,curb,13.0252091820273,5.83834204461452,11.2738849155749,5.99607280631228,-1.75132426645248,0.157730761697765,0.00256410001523124,0.00255724832679066,0.0167457545303494
estimate,27,149,curb,14.3926628629824,-3.40632961341208,13.9556740736153,-3.30084362814868,-0.436988789367085,0.105485985263399,0.00512818785406139,0.00511981128127088,0.0102256854920091
estimate,28,249,curb,14.0233351382298,5.82289648666403,16.0343313578817,5.90277297124069,2.01099621965187,0.079876484576654,0.0051282017397597,0.00485406810047335,0.35296893452579
estimate,29,149,curb,15.3702457572092,-3.49615448542181,13.9556740736153,-3.30084362814868,-1.41457168359387,0.195310857273131,0.00512818785406139,0.00507914567278563,0.0603474782414314
estimate,30,249,curb,15.3364262210539,5.75880795385517,16.0343313578817,5.90277297124069,0.697905136827732,0.143965017385518,0.00769230260963955,0.00734523691227658,0.295315268169647
estimate,31,200,curb,15.9877136451967,-3.47087639381891,16.7563671787982,-3.33351926086231,0.76865353360148,0.137357132956592,0.00512820501712626,0.00494134061945815,0.236353365486822
estimate,32,197,curb,16.9788804582177,-3.55969799664014,18.4181040679201,-3.40459451823733,1.4392236097024,0.155103478402811,0.00512820497982253,0.00478271391141775,0.451484077350918
estimate,33,949,pole,-9.06525773713747,-3.76528443660499,-8.32186728627187,-3.94331290628702,0.743390450865597,-0.17802846968203,0.111110849607799,0.103698682550537,0.446737055558157
estimate,34,931,pole,1.24538126241569,-13.5094991527577,1.948914175533,-13.5698483426474,0.703532913117307,-0.0603491898896582,0.111107331149425,0.111045947603163,0.00345485064894107
estimate,35,931,pole,1.4174717151109,-13.5295448198806,1.948914175533,-13.5698483426474,0.531442460422103,-0.0403035227668234,0.111107331149425,0.110828784158613,0.0157081818210874
estimate,36,1203,trafficSign,-19.7718208486258,7.52705163733384,-19.2647884022615,7.4518158367991,0.507032446364295,-0.0752358005347409,0.19047619047619,0.184274046813046,0.210357337699218
estimate,37,1203,trafficSign,-19.7329612593276,7.68290911001976,-19.2647884022615,7.4518158367991,0.468172857066126,-0.231093273220664,0.142857142857143,0.140347274643066,0.111770437850489
