model,replicate,massKg,brakeGain
traction_only,28,774.013954627287,1.0
traction_only,29,2011.5632183908515,1.0
traction_only,30,1863.3985053513832,1.0
traction_only,31,2100.1359015776634,1.0
traction_only,32,2140.0603207083473,1.0
traction_only,33,2005.1280457594792,1.0
traction_only,34,1869.4212982322852,1.0
traction_only,35,2330.347821434919,1.0
traction_only,36,1657.3869174757078,1.0
traction_only,37,2219.4712529967624,1.0
traction_only,38,2163.3535962082815,1.0
traction_only,39,912.4461200654067,1.0
traction_only,40,2204.9657148740207,1.0
traction_only,41,1972.359052161465,1.0
traction_only,42,1837.730881629247,1.0
traction_only,43,862.1922288546536,1.0
traction_only,44,2036.8290167151179,1.0
traction_only,45,2271.6453246357273,1.0
traction_only,46,1819.3254736602796,1.0
traction_only,47,2110.0825331567185,1.0
traction_only,48,1689.7150489320675,1.0
traction_only,49,2153.9173378890832,1.0
traction_only,50,1961.4230502222485,1.0
traction_only,51,2015.902254139034,1.0
traction_only,52,2047.1574548262981,1.0
traction_only,53,2214.683930262577,1.0
traction_only,54,1830.4821924989694,1.0
traction_only,55,2158.5663636997165,1.0
traction_only,56,1867.553998917256,1.0
traction_only,57,2222.8491825787237,1.0
traction_only,58,1918.7682338083157,1.0
traction_only,59,1686.4320470143593,1.0
traction_only,60,2136.108994309492,1.0
traction_only,61,2036.5651973104832,1.0
traction_only,62,1860.0665911762137,1.0
traction_only,63,1869.5110122304145,1.0
traction_only,64,1853.7058829666123,1.0
traction_only,65,2052.0470062315003,1.0
traction_only,66,1665.7264260540637,1.0
traction_only,67,2069.4119277819914,1.0
traction_only,68,2037.4119315467447,1.0
traction_only,69,2194.0390441680734,1.0
traction_only,70,1543.909341225027,1.0
traction_only,71,1957.7372021841693,1.0
traction_only,72,2185.226562185467,1.0
traction_only,73,2009.7302224215389,1.0
traction_only,74,2126.168351384987,1.0
traction_only,75,1237.3023763691713,1.0
traction_only,76,2061.9254471441477,1.0
traction_only,77,2166.1081473965532,1.0
traction_only,78,2035.660498828881,1.0
traction_only,79,1493.1109291572175,1.0
traction_only,80,802.8997080289117,1.0
traction_only,81,2188.0061459203366,1.0
traction_only,82,2112.788915825488,1.0
traction_only,83,1893.549611722702,1.0
traction_only,84,1982.2290692414858,1.0
traction_only,85,2042.2244742017676,1.0
traction_only,86,1953.1827485632177,1.0
traction_only,87,1847.806096299254,1.0
traction_only,88,1665.1174177815465,1.0
traction_only,89,2151.951865276121,1.0
traction_only,90,2143.147667184643,1.0
traction_only,91,2119.734879412475,1.0
traction_only,92,2068.2092304096996,1.0
traction_only,93,1621.0866114341527,1.0
traction_only,94,1836.1012035589056,1.0
traction_only,95,1697.7760669806921,1.0
traction_only,96,2057.2568809817035,1.0
traction_only,97,2252.119500414458,1.0
traction_only,98,1215.0696142909467,1.0
traction_only,99,1750.353327454074,1.0
traction_only,100,2066.985992686792,1.0
traction_only,101,2176.996169530855,1.0
traction_only,102,1904.5749861592067,1.0
traction_only,103,1821.4492562982277,1.0
traction_only,104,1930.354706778777,1.0
traction_only,105,2190.2459632926184,1.0
traction_only,106,1472.471930724235,1.0
traction_only,107,1885.0598794308019,1.0
traction_only,108,1288.0788834782131,1.0
traction_only,109,1656.5871107825978,1.0
traction_only,110,1865.4172851895216,1.0
traction_only,111,2144.305719142399,1.0
traction_only,112,1689.6416268060384,1.0
traction_only,113,1821.0024507302599,1.0
traction_only,114,2186.406167716916,1.0
traction_only,115,2030.271628375981,1.0
traction_only,116,2160.555363232444,1.0
traction_only,117,2035.2934498667669,1.0
traction_only,118,2015.4300530999485,1.0
traction_only,119,2243.5385285008556,1.0
traction_only,120,2200.2104379280354,1.0
traction_only,121,1983.185203890023,1.0
traction_only,122,730.4878371054367,1.0
traction_only,123,2196.3357558934645,1.0
traction_only,124,2065.5551075993044,1.0
traction_only,125,1908.16390058945,1.0
traction_only,126,1970.5856843898803,1.0
traction_only,127,1650.7182376075518,1.0
traction_only,128,1646.2996700617864,1.0
traction_only,129,2142.5311073410617,1.0
traction_only,130,2203.7117886563924,1.0
traction_only,131,2257.5775494029563,1.0
traction_only,132,2066.0680305846968,1.0
traction_only,133,2069.8562720382174,1.0
traction_only,134,1625.3165937392555,1.0
traction_only,135,2064.6150863589073,1.0
traction_only,136,2148.7655082216165,1.0
traction_only,137,1938.544801336794,1.0
traction_only,138,2155.804296461779,1.0
traction_only,139,1959.557745480913,1.0
traction_only,140,800.7794614915496,1.0
traction_only,141,2167.81506324367,1.0
traction_only,142,2003.5817139013295,1.0
traction_only,143,1710.9260944073576,1.0
traction_only,144,1728.307592393669,1.0
traction_only,145,2126.269239766237,1.0
traction_only,146,2300.819369779073,1.0
traction_only,147,1502.417988024069,1.0
traction_only,148,1904.9250792593118,1.0
traction_only,149,2143.6330094884984,1.0
