names,calls,total,self
registerSemanticProbabilityCloud,21,0.542045,0.00109499999999996
interp1>reshapeAndSortXandV,309,0.001528,0.001079
varNamesDim>parseMode,184,0.001065,0.001065
buildCoarseSemanticProbabilityCloud>buildGeometry,21,0.001059,0.001059
tabular.dotListLength,259,0.001045,0.001045
tabularDimension.tabularDimension>tabularDimension.assignLabels,184,0.000874,0.000874
segmentGround>resolveSlopeGridXYCellSize,21,0.000835,0.000835
refineCurbCellsByRoadAdjacency>isSmallRoadAdjacentCurbComponentSupported,30,0.000824,0.000824
buildCurbEnergyMaps,21,0.506148,0.000804000000000027
segmentGround>readOptionalPositiveIntegerConfig,126,0.000803,0.000803
analyzeStructuralPillars>coordinateMaps,21,0.001438,0.0008
tabular.tabular>tabular.tabular,184,0.00162,0.000792
makeUniqueStrings>validateStringContents,184,0.001113,0.000791
perceptionNativeAvailable,21,0.000789,0.000789
detectPoleCandidates>isValidPoleFootprintShape,81,0.00075,0.00075
errorIfDlarray,84,0.000958,0.000745
isText,184,0.000724,0.000724
segmentGround>readOptionalTwoElementConfig,21,0.000707,0.000707
errorIfgpuArray,252,0.000694,0.000694
interp1>sanitycheckmethod,309,0.000622,0.000622
analyzeGroundPillars>configureFastRefinement,21,0.00062,0.00062
lidarFrameCalibrationConfig,42,0.000619,0.000619
makeUniqueStrings>getComputerMaxStringLength,184,0.000598,0.000598
voxelizePointCloud>readScalarConfig,42,0.000581,0.000581
segmentGround>readRequiredScalarConfig,21,0.000575,0.000575
segmentGround>readOptionalScalarConfig,42,0.000565,0.000565
struct2array,21,0.000557,0.000557
segmentGround>readOptionalNonnegativeIntegerConfig,21,0.000556,0.000556
fliplr,387,0.000532,0.000532
segmentGround>readOptionalLogicalConfig,21,0.000525,0.000525
firstNonSingletonDim,81,0.00052,0.00052
deal,21,0.00051,0.00051
OverridesPublicDotMethodCall.OverridesPublicDotMethodCall>OverridesPublicDotMethodCall.OverridesPublicDotMethodCall,184,0.000497,0.000497
voxelizePointCloud>readFiniteOrInfiniteScalarConfig,21,0.000495,0.000495
analyzeStructuralPillars>resolveTrafficThreshold,21,0.000486,0.000486
buildFineColumnShapeScores>resolveFineShapeScoreNeighborhoodRadius,21,0.000483,0.000483
buildFineColumnShapeScores>resolveFineShapeScoreSaturatedSeedCount,21,0.000533,0.00048
buildFineColumnShapeScores>resolveFineShapeScoreMinSeedCount,42,0.000468,0.000468
buildCoarseSemanticProbabilityCloud>normalizeMixtureWeights,21,0.000464,0.000464
stringToChar,504,0.000461,0.000461
makeUniqueStrings>mustBeValidExcludes,184,0.000454,0.000454
buildFineColumnShapeScores>resolveFineShapeScoreWeightPower,21,0.00045,0.00045
interp1>reshapeValuesV,309,0.000449,0.000449
offGroundFeatures/private/resolvePoleOccupiedLayerMinPoints,21,0.000449,0.000449
