variant,referenceInjected,population,samples,rmseM,medianM,p95M,maximumM,fractionAtMost5cm,fractionAtMost10cm,meanForwardErrorM,meanLeftErrorM
reference_velocity_acceleration,1,uniform_all,11690,0.0957697220915252,0.0624670958387822,0.19136375993061,0.38489801406684,0.392215568862275,0.732506415739949,-0.00427643932556844,-0.0170213801719531
reference_all_motion,1,native_full,1084,0.0912921330513033,0.0613883776526984,0.179609115188153,0.272180388403475,0.390221402214022,0.740774907749078,-0.00668127354245481,-0.0219176646580467
reference_all_motion,1,uniform_all,11690,0.098875298862864,0.0642027760840085,0.200099096667367,0.354333913989742,0.3732249786142,0.710179640718563,-0.00393594478370778,-0.023021448080733
zero_acceleration,0,native_full,1084,0.115321493108193,0.0955326668789585,0.196088656527068,0.295859654668359,0.114391143911439,0.539667896678967,-0.00434344780236863,-0.0685452564384018
zero_acceleration,0,uniform_all,11690,0.122096670533091,0.0980117404896517,0.218206408381402,0.344681978042461,0.108810949529512,0.518220701454234,-0.00222616127539022,-0.0686792263943159
kinematic_acceleration,0,native_full,1084,0.117622121139698,0.0950089554251664,0.211549322437019,0.338381446493657,0.145756457564576,0.550738007380074,0.000997261900018518,-0.0652343589286266
kinematic_acceleration,0,uniform_all,11690,0.122612316901325,0.0971607684545634,0.231672775023312,0.343491864172693,0.142771599657827,0.525834046193328,0.00398597965365745,-0.0614062262966175
kp_2,0,native_full,1084,0.160425056341296,0.146266810914793,0.249689898329388,0.372240274408133,0.0387453874538745,0.228782287822878,0.0184693236514849,-0.111128975360832
kp_2,0,uniform_all,11690,0.16345758443272,0.146389493623835,0.259283205901909,0.407109213635423,0.0400342172797263,0.233789563729683,0.0216670427318227,-0.101902084260552
kp_8,0,native_full,1084,0.110883175960637,0.0808413191922504,0.217753242145332,0.382522388936316,0.226014760147601,0.646678966789668,0.000459218711139121,-0.042386930296466
kp_8,0,uniform_all,11690,0.118806343426692,0.0837804915129578,0.230663197413356,0.390209332200114,0.208383233532934,0.618733960650128,0.00391556170617806,-0.0416566034928318
kp_12,0,native_full,1084,0.113388862127914,0.0796082702254238,0.221519395049311,0.433949143544212,0.252767527675277,0.657749077490775,-0.00181470563923089,-0.0349619714350092
kp_12,0,uniform_all,11690,0.122541751625475,0.0822675192358601,0.239006374936073,0.438163887109739,0.239692044482464,0.622326775021386,0.00206172771155361,-0.0349652383219286
kp_16,0,native_full,1084,0.11603994509354,0.0789643430781926,0.226885625632572,0.462561612249816,0.264760147601476,0.648523985239852,-0.00285234122909768,-0.0312881250323104
kp_16,0,uniform_all,11690,0.12569462867796,0.0818540013278313,0.250828295679911,0.463239223215557,0.24961505560308,0.615825491873396,0.00114109494265715,-0.031617839935382
kp_24,0,native_full,1084,0.120467593845761,0.0785266544379644,0.234206123290399,0.483529582361891,0.263837638376384,0.635608856088561,-0.00353325468003604,-0.0276333503223688
kp_24,0,uniform_all,11690,0.129734810481846,0.0812572893750336,0.26468201058151,0.494951780292562,0.253464499572284,0.606330196749358,0.000223736354462992,-0.0282691055605334
kv_1,0,native_full,1084,0.133785180601454,0.119593583152958,0.217868924334744,0.323435105731035,0.0977859778597786,0.353321033210332,0.0239084479756525,-0.0647167973556067
kv_1,0,uniform_all,11690,0.138071742983851,0.121698204192171,0.230085534445551,0.334248097854551,0.0885372112917023,0.341402908468777,0.0255807656018698,-0.0623987277264057
kv_12,0,native_full,1084,0.116676332048262,0.0949119150519171,0.21086706776662,0.33372591046649,0.133763837638376,0.549815498154982,0.0029416863789076,-0.0651957421118433
kv_12,0,uniform_all,11690,0.121789537999335,0.0975100409013932,0.225870088183613,0.338511049772305,0.13207869974337,0.519931565440548,0.00587387575351478,-0.0615297534559703
kv_24,0,native_full,1084,0.116696929030118,0.0946120655458944,0.21101754972889,0.334654119485187,0.134686346863469,0.547970479704797,0.0019448208582623,-0.0652045302713676
kv_24,0,uniform_all,11690,0.121755332408401,0.0972850577058097,0.225589177390691,0.339440761131632,0.133447390932421,0.522070145423439,0.00492505282181407,-0.0614814654408425
ka_6,0,native_full,1084,0.11750507921498,0.096987821628662,0.205782471424471,0.328865512493625,0.122693726937269,0.532287822878229,0.00690239298164907,-0.0651027349879503
ka_6,0,uniform_all,11690,0.122718289941931,0.0992335027374042,0.226444284255696,0.334192010244437,0.12027373823781,0.50786997433704,0.00963210372466137,-0.0616711491772161
ka_24,0,native_full,1084,0.117297276637906,0.0963013036558432,0.206815578465274,0.32846738266095,0.125461254612546,0.538745387453875,0.00684903518715869,-0.0651545668543231
ka_24,0,uniform_all,11690,0.122527731735156,0.0986857797510681,0.226096219375047,0.333330163497636,0.119760479041916,0.512061591103507,0.00961349962924887,-0.0617497365122385
