frame,time,mode,fullPose,directionalPose,measurementType,reason,mappingErrorM,pvaErrorM,yawErrorDeg,candidateMappingErrorM,sourceComponents,registrationSeconds
7,0.573130554228286,per_frame_positive,1,0,fullPose,accepted,0.0334361526778529,0.0334476471157783,-0.0459272627943469,0.0334361526778529,25,0.023049
7,0.573130554228286,per_frame_negative,1,0,fullPose,accepted,0.0334364567575503,0.0334479547357105,-0.0459285523195819,0.0334364567575503,25,0.024744
7,0.573130554228286,per_frame_zero,1,0,fullPose,accepted,0.0334361068706532,0.0334476020015353,-0.0459272227826382,0.0334361068706532,25,0.022848
7,0.573130554228286,lidar_only_recursive,1,0,fullPose,accepted,0.0334372792481724,0.0334487708566566,-0.0459300185694881,0.0334372792481724,25,0.020557
8,0.696147889792836,per_frame_positive,1,0,fullPose,accepted,0.0408728482233284,0.0409474263136202,-0.0771731631971994,0.0408728482233284,21,0.022779
8,0.696147889792836,per_frame_negative,1,0,fullPose,accepted,0.0408737939547053,0.0409483804888041,-0.0771786873935199,0.0408737939547053,21,0.022796
8,0.696147889792836,per_frame_zero,1,0,fullPose,accepted,0.0408698357797972,0.0409444186966715,-0.0771587491971143,0.0408698357797972,21,0.020275
8,0.696147889792836,lidar_only_recursive,1,0,fullPose,accepted,0.0408720465751479,0.0409466343952696,-0.0771701198604253,0.0408720465751479,21,0.020173
9,0.799459374788818,per_frame_positive,1,0,fullPose,accepted,0.037391492326292,0.0373209715754112,-0.0247581350652655,0.037391492326292,24,0.021953
9,0.799459374788818,per_frame_negative,1,0,fullPose,accepted,0.0373899797759703,0.0373195123355205,-0.024773079785656,0.0373899797759703,24,0.023711
9,0.799459374788818,per_frame_zero,1,0,fullPose,accepted,0.0373758347640417,0.0373053645216773,-0.0247501395340658,0.0373758347640417,24,0.020326
9,0.799459374788818,lidar_only_recursive,1,0,fullPose,accepted,0.0373830926540894,0.0373126596876635,-0.0247733318281774,0.0373830926540894,24,0.020256
10,0.899978804618634,per_frame_positive,1,0,fullPose,accepted,0.0444047389750125,0.0444570994359109,-0.147021110577116,0.0444047389750125,24,0.022328
10,0.899978804618634,per_frame_negative,1,0,fullPose,accepted,0.044405239191747,0.0444576045406614,-0.147027856240399,0.044405239191747,24,0.0233
10,0.899978804618634,per_frame_zero,1,0,fullPose,accepted,0.0444046193201685,0.0444569798074502,-0.147019853993725,0.0444046193201685,24,0.02082
10,0.899978804618634,lidar_only_recursive,1,0,fullPose,accepted,0.044404625526376,0.0444569856968815,-0.147019819399239,0.044404625526376,24,0.02064
11,1.00110747592308,per_frame_positive,1,0,fullPose,accepted,0.0247048734071691,0.0248115504720241,-0.0385125880563852,0.0247048734071691,25,0.022737
