resolution,frame,start,reason,accepted,distance,yawdeg
1.8,28,3,accepted,1,0.0618916874595547,-0.0909636319185944
1.8,214,1,accepted,1,0.0260187115312788,0.218678665588292
1.8,214,2,accepted,1,0.0260176457313593,0.218669034926272
1.8,214,3,accepted,1,0.0260167088781913,0.21866589751855
1.8,458,1,accepted,1,0.0666015436062909,0.250336337156457
1.8,458,2,accepted,1,0.226225092871611,0.513273952848481
1.8,458,3,accepted,1,0.00834433088435673,0.071133898317121
1.8,600,1,accepted,1,0.120430535924652,0.733585860164508
1.8,600,2,accepted,1,0.120428232615984,0.733577427498535
1.8,600,3,accepted,1,0.120426834683534,0.733572310691792
1.8,855,1,inconsistentClasses,0,0.84664445798412,1.57331500702256
1.8,855,2,accepted,1,0.131440001838858,-0.12098825194089
1.8,855,3,accepted,1,0.131435412205367,-0.120973993149899
1.8,943,1,accepted,1,0.102441917017012,0.355333120672966
1.8,943,2,accepted,1,0.0699525904420961,0.030219615120141
1.8,943,3,accepted,1,0.0699449808051537,0.0301784967799717
1.8,1137,1,accepted,1,0.25038135270401,0.771052125841559
1.8,1137,2,accepted,1,0.172504252689218,0.0840478694912178
1.8,1137,3,accepted,1,0.172504015526912,0.0840521725349099
