queryFrame,fixedFrame,training,qualityPassed,rmseM,errorX,errorY,yawErrorRad,queryPoints,fixedPoints,referenceYawChangeDeg,overlap,medianDistanceM,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
71,61,1,1,0.572590405428491,-0.781570446386468,0.223906387574971,-0.00420096658900615,28305,27936,-7.99789154354209,0.695283518812931,0.1827758166066,0.275331520170603,484755.420174869,4976637.6638863,-2.01196992124979,484756.088554653,4976640.92424448,-1.87238038059757,484754.638604422,4976637.88779269,-2.0161708878388
76,56,1,1,0.899785264022341,-1.66960406210274,0.431010242551565,-0.00776531430266081,28596,27938,-15.5022471264854,0.618792838159183,0.22114251288215,0.684158240099098,484754.769486228,4976636.14982719,-2.06222298827053,484755.952705224,4976642.69872573,-1.79165773445553,484753.099882166,4976636.58083744,-2.06998830257319
76,61,1,1,0.798786680333671,-0.940620089706499,0.31628898344934,-0.00540523904222834,28596,27936,-10.8771801914185,0.656350538536858,0.202052895557539,0.260560746263893,484754.769486228,4976636.14982719,-2.06222298827053,484756.088554653,4976640.92424448,-1.87238038059757,484753.828866138,4976636.46611618,-2.06762822731276
76,66,1,1,0.659047392188574,-0.353707449452486,0.19052520301193,-0.00395328009783658,28596,28206,-6.46720799036378,0.700657434606239,0.181852156321986,0.0465090511174852,484754.769486228,4976636.14982719,-2.06222298827053,484755.98776287,4976639.24753684,-1.9493489154274,484754.415778779,4976636.3403524,-2.06617626836837
81,61,1,1,1.03804100724607,-1.05027106357738,0.450420146808028,-0.00643662759361208,28183,27936,-13.5306404434615,0.624170599297449,0.217622605931771,0.216553795448085,484753.999667463,4976634.61790569,-2.10853460623948,484756.088554653,4976640.92424448,-1.87238038059757,484752.949396399,4976635.06832583,-2.11497123383309
81,66,1,1,0.835791063206738,-0.467380174435675,0.320618869736791,-0.00417575757431354,28183,28206,-9.12066824240679,0.657240180250506,0.200773766212305,0.0868380280671952,484753.999667463,4976634.61790569,-2.10853460623948,484755.98776287,4976639.24753684,-1.9493489154274,484753.532287289,4976634.93852456,-2.11271036381379
81,71,1,1,0.597362224320451,-0.252571979362983,0.212787076830864,-0.00210859596066104,28183,28305,-5.53274889991941,0.690948444097506,0.182022292314341,0.0789319610632988,484753.999667463,4976634.61790569,-2.10853460623948,484755.420174869,4976637.6638863,-2.01196992124979,484753.747095484,4976634.83069276,-2.11064320220014
86,66,1,1,1.19787510112287,-0.564109499624465,0.435624008066952,-0.00507171158875952,28167,28206,-11.4927020987782,0.60844250363901,0.221858787380769,0.129387802590431,484753.108566838,4976633.04982298,-2.14993440700194,484755.98776287,4976639.24753684,-1.9493489154274,484752.544457339,4976633.48544698,-2.1550061185907
86,71,1,1,0.836437074253832,-0.351667412149254,0.326017157174647,-0.00270178310412073,28167,28305,-7.90478275629086,0.65203962083289,0.202890399130175,0.119074411092339,484753.108566838,4976633.04982298,-2.14993440700194,484755.420174869,4976637.6638863,-2.01196992124979,484752.756899426,4976633.37584013,-2.15263619010606
86,76,1,1,0.642441753241202,-0.199893475859426,0.22608635853976,-0.000962523090516587,28167,28596,-5.02549410841446,0.685412006958498,0.184702111722209,0.0975166381250453,484753.108566838,4976633.04982298,-2.14993440700194,484754.769486228,4976636.14982719,-2.06222298827053,484752.908673363,4976633.27590934,-2.15089693009246
91,71,1,1,1.02442036690391,-0.421084306610283,0.466191962361336,-0.00234192653159582,28532,28305,-10.3696642139334,0.605740922473013,0.225307069310953,0.194780678859819,484752.074864564,4976631.40191625,-2.19295470410916,484755.420174869,4976637.6638863,-2.01196992124979,484751.653780258,4976631.86810821,-2.19529663064076
91,76,1,1,0.82722594097646,-0.26500461314572,0.365780413150787,-0.000272888830553875,28532,28596,-7.49037556605701,0.649341090705173,0.201186067045156,0.177379202612643,484752.074864564,4976631.40191625,-2.19295470410916,484754.769486228,4976636.14982719,-2.06222298827053,484751.809859951,4976631.76769666,-2.19322759293971
91,81,1,1,0.665773891559358,-0.161283604276832,0.246742414310575,0.000267891326664937,28532,28183,-4.83691531401399,0.682496845646993,0.185541972658085,0.12123443865745,484752.074864564,4976631.40191625,-2.19295470410916,484753.999667463,4976634.61790569,-2.10853460623948,484751.91358096,4976631.64865866,-2.19268681278249
96,76,1,0,1.01970983148331,-0.31438884336967,0.553994785994291,0.000979605166866904,29286,28596,-10.4019712554803,0.597999043911767,0.230264032966356,0.298256400300345,484750.798631105,4976629.57954227,-2.24377163537647,484754.769486228,4976636.14982719,-2.06222298827053,484750.484242262,4976630.13353705,-2.2427920302096
96,81,1,1,0.842740375258576,-0.213008041435387,0.438610566779971,0.00147878346994368,29286,28183,-7.74851100343726,0.627603633135286,0.212698273540125,0.241836341790484,484750.798631105,4976629.57954227,-2.24377163537647,484753.999667463,4976634.61790569,-2.10853460623948,484750.585623064,4976630.01815284,-2.24229285190653
96,86,1,1,0.626693451231829,-0.123194093175698,0.310764133930206,0.00228005908316353,29286,28167,-5.37647714706581,0.670047121491498,0.190840865770291,0.18580459598791,484750.798631105,4976629.57954227,-2.24377163537647,484753.108566838,4976633.04982298,-2.14993440700194,484750.675437012,4976629.8903064,-2.24149157629331
101,81,1,0,1.36921316821738,-0.265979364863597,0.638739765621722,0.00557998158672701,29601,28183,-11.6312846553569,0.571365832235397,0.243364261308748,0.379739957540782,484749.141663164,4976627.47798133,-2.31153881971215,484753.999667463,4976634.61790569,-2.10853460623948,484748.875683799,4976628.11672109,-2.30595883812543
101,86,1,1,1.03311512323191,-0.177298328606412,0.516521520912647,0.0059308382269565,29601,28167,-9.25925079898548,0.609607783520827,0.220673551125123,0.326348026933954,484749.141663164,4976627.47798133,-2.31153881971215,484753.108566838,4976633.04982298,-2.14993440700194,484748.964364835,4976627.99450285,-2.3056079814852
101,91,1,1,0.785620019240893,-0.114001503447071,0.391242547892034,0.00494785436981671,29601,28532,-6.79436934134294,0.662207357859532,0.195592526313493,0.250003208371124,484749.141663164,4976627.47798133,-2.31153881971215,484752.074864564,4976631.40191625,-2.19295470410916,484749.02766166,4976627.86922388,-2.30659096534234
106,86,1,0,1.69968227102399,-0.258892774756532,0.744333712384105,0.00802106375571832,30125,28167,-14.1146060606686,0.542838174273859,0.26508560346875,0.463089270893143,484747.025452257,4976625.18233138,-2.39628075538255,484753.108566838,4976633.04982298,-2.14993440700194,484746.766559482,4976625.92666509,-2.38825969162683
106,91,1,0,1.37333442381425,-0.198398265580181,0.618879087269306,0.00750278441727259,30125,28532,-11.649724603026,0.584796680497925,0.235397615927424,0.384619541587454,484747.025452257,4976625.18233138,-2.39628075538255,484752.074864564,4976631.40191625,-2.19295470410916,484746.827053991,4976625.80121047,-2.38877797096528
106,96,1,1,1.19522614531984,-0.141384277609177,0.439355217851698,0.00592207991316007,30125,29286,-8.73812891360275,0.621609958506224,0.212044674914388,0.282219012932803,484747.025452257,4976625.18233138,-2.39628075538255,484750.798631105,4976629.57954227,-2.24377163537647,484746.884067979,4976625.6216866,-2.39035867546939
111,91,1,0,1.83473523970465,-0.309658854384907,0.823272651992738,0.00893946710274429,31944,28532,-17.0974602491378,0.494459053343351,0.306021535956293,0.499299218139607,484744.443789213,4976622.86430737,-2.49136167918546,484752.074864564,4976631.40191625,-2.19295470410916,484744.134130359,4976623.68758002,-2.48242221208272
111,96,1,0,1.56913663170806,-0.231053461204283,0.65153125487268,0.0069292473214233,31944,29286,-14.1858645597145,0.526671675432006,0.277154862075212,0.428969170095519,484744.443789213,4976622.86430737,-2.49136167918546,484750.798631105,4976629.57954227,-2.24377163537647,484744.212735752,4976623.51583862,-2.48443243186404
111,101,1,0,0.911995911789122,-0.203237454523332,0.447827816940844,0.00381571561616889,31944,29601,-10.3030909077949,0.584335086401202,0.233568686919217,0.272013050491019,484744.443789213,4976622.86430737,-2.49136167918546,484749.141663164,4976627.47798133,-2.31153881971215,484744.240551759,4976623.31213518,-2.48754596356929
