experiment,scenario,population,samples,positionRmseM,positionMedianM,positionP95M,positionMaximumM,fractionAtMost10cm,headingRmseDeg,bothActiveSamples,neitherActiveSamples,runtimeSeconds
selected_sequence_fit,lidar_outage,outage_40_60,199,0.0469638111483207,0.0463485158309346,0.0556367015356101,0.068518435068106,1,0.179063748278051,0,0,0.12516
selected_sequence_fit,lidar_outage,recovery_60_70,100,0.0630127081200716,0.06518036668847,0.103112098642731,0.11155633546933,0.91,0.519046588064268,100,0,0.12516
selected_sequence_fit,both_outage,full,1169,0.317522075923781,0.0728707644531667,0.887057746872717,1.03397133555645,0.643284858853721,0.472839498814175,970,199,0.100368
selected_sequence_fit,both_outage,outage_40_60,199,0.739725849819682,0.847148189784545,0.997868063054399,1.03397133555645,0.0804020100502513,0.106835049648878,0,199,0.100368
selected_sequence_fit,both_outage,recovery_60_70,100,0.11394837881743,0.0633342222494597,0.135381294012332,0.703722461775888,0.85,0.521026697384465,100,0,0.100368
selected_sequence_fit,alternating,full,1169,0.171378988000139,0.127127961593813,0.314207883327636,0.507609858780612,0.362703165098375,0.518497783857405,0,0,0.078881
selected_sequence_fit,alternating,outage_40_60,199,0.109042776698472,0.0925997767224222,0.172541573185779,0.299049307881842,0.603015075376884,0.440758848635314,0,0,0.078881
selected_sequence_fit,alternating,recovery_60_70,100,0.150432973973823,0.132842105801964,0.248707427037007,0.259662447469372,0.36,0.502324512508718,0,0,0.078881
independent_drive_fit,both,full,1169,0.0876386044449998,0.057655408977327,0.160447896588764,0.264153216348651,0.74508126603935,0.526178467567033,1168,0,0.205386
independent_drive_fit,both,outage_40_60,199,0.0428133344129513,0.0426340605438695,0.0671403998905609,0.084518519662726,1,0.318209123080617,199,0,0.205386
independent_drive_fit,both,recovery_60_70,100,0.0603911251988872,0.0475810844243424,0.0985371281127793,0.105862199034673,0.96,0.347937498039696,100,0,0.205386
independent_drive_fit,lidar_only,full,1169,0.20469506155718,0.139844319465569,0.421161081660408,0.508931818328447,0.316509837467921,0.526178467567033,0,1,0.096348
independent_drive_fit,lidar_only,outage_40_60,199,0.0809889206092583,0.0712258546419142,0.144506937002147,0.1722633710834,0.834170854271357,0.318209123080617,0,0,0.096348
independent_drive_fit,lidar_only,recovery_60_70,100,0.1175435389657,0.102406718300413,0.194683972298762,0.223953475573309,0.49,0.347937498039696,0,0,0.096348
independent_drive_fit,gnss_only,full,1169,0.0879522702743955,0.0567144707641739,0.19118001093907,0.260214757557461,0.775021385799829,1.39933643136156,0,0,0.103262
independent_drive_fit,gnss_only,outage_40_60,199,0.0448420720415836,0.0422206736345401,0.0686343846820024,0.0994759315606273,1,1.00256382503218,0,0,0.103262
independent_drive_fit,gnss_only,recovery_60_70,100,0.071776995306114,0.0403147809865556,0.129822881886828,0.144893757602056,0.77,1.51430148820876,0,0,0.103262
independent_drive_fit,gnss_outage,full,1169,0.0917895361762729,0.0681251862297977,0.161129105527476,0.264153216348651,0.719418306244654,0.526178467567033,969,0,0.115967
independent_drive_fit,gnss_outage,outage_40_60,199,0.0788328873092867,0.0694175281050317,0.141245706992193,0.166481169071722,0.849246231155779,0.318209123080617,0,0,0.115967
independent_drive_fit,gnss_outage,recovery_60_70,100,0.0602848306985929,0.0473297361391438,0.0985364076562848,0.105862199034673,0.96,0.347937498039696,100,0,0.115967
independent_drive_fit,lidar_outage,full,1169,0.0881084257544533,0.0569163964428946,0.160448903404984,0.264174368652799,0.74251497005988,0.515093732958088,969,0,0.128464
independent_drive_fit,lidar_outage,outage_40_60,199,0.0458782126634412,0.0452589070358866,0.0561521526339718,0.0711653957526343,1,0.185005018114942,0,0,0.128464
independent_drive_fit,lidar_outage,recovery_60_70,100,0.0639082257639378,0.0538687431151297,0.100699899009779,0.107804217976714,0.93,0.345719477748855,100,0,0.128464
independent_drive_fit,both_outage,full,1169,0.545766235802135,0.0819572450094053,1.58196460695585,2.01659804978607,0.577416595380667,0.537013935691263,969,199,0.102372
independent_drive_fit,both_outage,outage_40_60,199,1.29985989106379,1.31417369729529,1.96169063934177,2.01659804978607,0.0552763819095477,0.408050178848319,0,199,0.102372
independent_drive_fit,both_outage,recovery_60_70,100,0.192716652845706,0.053800515229722,0.236097003196379,1.35464513189209,0.88,0.354807225583582,100,0,0.102372
independent_drive_fit,alternating,full,1169,0.176871197827865,0.139845221239091,0.316817734430327,0.421595577127731,0.307100085543199,0.535587255910904,0,0,0.078144
independent_drive_fit,alternating,outage_40_60,199,0.110064541748445,0.102745001099165,0.1667757891766,0.221717226839272,0.447236180904523,0.334297555464803,0,0,0.078144
independent_drive_fit,alternating,recovery_60_70,100,0.166106931186951,0.157754735552626,0.244574748576054,0.270699632847652,0.18,0.346840943998859,0,0,0.078144
