queryFrame,fixedFrame,training,qualityPassed,accepted,reason,errorX,errorY,yawErrorRad,similarity,matchedFraction,matches,correctedResidualM,qx,qy,qa,fx,fy,fa,mx,my,ma
56,46,1,1,1,accepted,-0.724064512876794,0.0144204935058951,-0.0029017788212089,0.557643285475233,0.709677419354839,22,0.15242249759212,484755.952705224,4976642.69872573,-1.79165773445553,484756.049980002,4976646.72849705,-1.60234160026159,484755.228640712,4976642.71314622,-1.79455951327674
56,51,1,1,1,accepted,-0.403349162836093,0.0391633547842503,-0.0025197063389597,0.649753187255914,0.741935483870968,23,0.129453392633041,484755.952705224,4976642.69872573,-1.79165773445553,484756.039990674,4976644.61399503,-1.70507554969226,484755.549356062,4976642.73788908,-1.79417744079449
61,31,1,1,1,accepted,-2.50964959897101,0.0178595492616296,-0.00513812092018995,0.272966299747456,0.423076923076923,11,0.535211095227849,484756.088554653,4976640.92424448,-1.87238038059757,484754.578893835,4976653.55167225,-1.26039896764919,484753.578905054,4976640.94210403,-1.87751850151776
61,36,1,1,1,accepted,-2.18520677211927,0.130431867204607,-0.00517436011328565,0.406436714981768,0.576923076923077,15,0.582255489551673,484756.088554653,4976640.92424448,-1.87238038059757,484755.336742249,4976651.28122605,-1.37708819533184,484753.903347881,4976641.05467635,-1.87755474071086
61,41,1,1,1,accepted,-1.85560013225768,0.176192693412304,-0.00713574629042579,0.482624264418486,0.576923076923077,15,0.628532282662749,484756.088554653,4976640.92424448,-1.87238038059757,484755.828960947,4976648.98098803,-1.49191068633805,484754.232954521,4976641.10043718,-1.879516126888
61,46,1,1,1,accepted,-1.4369846751797,0.137819465249777,-0.00220952754593773,0.54793117830736,0.653846153846154,17,0.576094656326303,484756.088554653,4976640.92424448,-1.87238038059757,484756.049980002,4976646.72849705,-1.60234160026159,484754.651569978,4976641.06206395,-1.87458990814351
61,51,1,1,1,accepted,-1.15191047056578,0.12731908261776,-0.0036282719700671,0.62717950887495,0.692307692307692,18,0.622962086728686,484756.088554653,4976640.92424448,-1.87238038059757,484756.039990674,4976644.61399503,-1.70507554969226,484754.936644183,4976641.05156357,-1.87600865256764
61,56,1,1,1,accepted,-0.750797588494606,0.0867099910974503,0.00105748367906999,0.864123727855356,0.884615384615385,23,0.498541901715758,484756.088554653,4976640.92424448,-1.87238038059757,484755.952705224,4976642.69872573,-1.79165773445553,484755.337757065,4976641.01095448,-1.8713228969185
66,36,1,0,0,insufficientOverlap,0,0,0,3.16331439135905e-29,0.0588235294117647,2,1.86233161927869,484755.98776287,4976639.24753684,-1.9493489154274,484755.336742249,4976651.28122605,-1.37708819533184,484755.98776287,4976639.24753684,-1.9493489154274
66,41,1,1,1,accepted,-2.41614573646802,0.255476213991642,-0.00904643083142398,0.364499915108516,0.382352941176471,13,0.95633588363359,484755.98776287,4976639.24753684,-1.9493489154274,484755.828960947,4976648.98098803,-1.49191068633805,484753.571617133,4976639.50301306,-1.95839534625882
