timeSeconds,identityBaselineM,selectedSequenceFitM,independentDriveFitM
14.5004263097716,0.111140894769833,0.127240483936038,0.133079286274362
14.601482339615,0.105218886761584,0.126842510033,0.138157068116661
14.7016392324451,0.106739943361483,0.130144075718269,0.145194293915014
14.8023940760978,0.111909307142604,0.137475854772998,0.151833191921752
14.9013553273743,0.118623646594807,0.142610008591982,0.151901226257923
15.0012596711619,0.123371693081105,0.144156927045367,0.145918445178229
15.1027521348811,0.127218932337513,0.145660065057845,0.141412644484298
15.2025914557431,0.118139237517471,0.147059819620792,0.136281056481843
15.3030487544889,0.117362672997384,0.147857124353846,0.137315409497977
15.4028485414123,0.123341570419319,0.150909189258175,0.141688156293492
15.5039516478537,0.12658045503229,0.153650979107379,0.146956107163241
15.6027745303449,0.1336367278538,0.158063591601378,0.150136616626014
15.7027701663198,0.139505897221436,0.163361200122911,0.152756271267686
15.804560955221,0.149762473545015,0.168739842353993,0.157343284325057
15.9043001407779,0.157537786347797,0.177164744048005,0.164165687503878
16.0046125684457,0.168711385426154,0.18593263324009,0.170735756344827
16.1046407158833,0.178226254411451,0.196165139567692,0.177680752011852
16.205523784745,0.192574136198859,0.202591089912785,0.180348039711044
16.3042265048699,0.206424816486212,0.214359777620241,0.183674541656284
16.4042640156088,0.218203738952404,0.219415157015032,0.169147987820152
16.5060238535975,0.21370214060873,0.19944343632548,0.16289229236242
16.6058980267476,0.182527258938743,0.187470722906858,0.15970451404492
16.7061870461622,0.163248462880212,0.177847058840051,0.154795070895694
16.8063005036781,0.135792728095783,0.172234789121116,0.150571308418681
16.906330991941,0.11915081297413,0.163494152282923,0.146226724063101
17.0056415463732,0.109506465475801,0.161302434722441,0.147136829336422
17.1057066268325,0.100675632403731,0.159685658679932,0.147801742195109
17.2057345141785,0.0982703206090537,0.162480217021332,0.14920407272674
17.3056854143807,0.0953530228817627,0.161667419681164,0.147519247279963
17.4059715727866,0.0964243212908153,0.162104846112474,0.148042589904372
17.5064023421787,0.0951535712271691,0.161752440266575,0.149057959953203
17.6055979360787,0.0986600647494575,0.161591859077408,0.149511469305514
17.7058146500002,0.0868987497711902,0.161478237964042,0.147762044211542
17.8054937543739,0.0832907396409553,0.163847936979963,0.147343336713509
17.9055825031781,0.0904164959810593,0.167928826966759,0.148035683475137
18.0058988322214,0.0959334881173565,0.167831073585243,0.148330865028338
18.1057233278565,0.101572863478333,0.166000753552842,0.149145052799421
18.2068605063109,0.100244956013203,0.15119186899248,0.147716861737482
18.3057330663171,0.0920934389331678,0.142280224042094,0.143895016115376
18.4058441830076,0.0851059827257307,0.118767645804093,0.122955170302064
18.5062395799283,0.0783594265115509,0.101057621146669,0.101944699752674
18.6060934659257,0.0720569930895007,0.0835509316356035,0.0853467233556465
18.706451669733,0.0565053846845994,0.0626299066100443,0.0669459846892896
18.8072317422808,0.048216516356252,0.051276894584118,0.0546706612759431
18.9057375729874,0.0477249487659976,0.0506334174247026,0.0506378479717727
19.0057477740976,0.0514118337510416,0.0549922410806169,0.0398194042562663
19.1056367724747,0.0575856922378627,0.061239397511395,0.0368011115685591
19.2054841561796,0.0655642523277512,0.0692285594980525,0.039355219257457
19.3055840889269,0.0973679580822218,0.0954180652233483,0.0277833958902171
19.4060876839956,0.118550628107937,0.114016634373938,0.0263874996606153
19.5060854007041,0.133395831973779,0.127097486842338,0.0285372892879007
19.6057821913136,0.141650793210264,0.134033414561669,0.0309190437356636
19.705793952974,0.147046792221869,0.137587311169891,0.0335329275086051
